Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Total Patents,IPqwery - Total Trademarks,Investment Stage
Headspace,https://www.crunchbase.com/organization/headspace,"Health Care, Mobile Apps, Training, Wellness","Santa Monica, California, United States",Headspace is a digital health platform that provides guided meditation sessions and mindfulness training.,"2,689",$1M to $10M,2010-01-01,year,"Apps, Education, Health Care, Mobile, Software",2,251-500,6,168153477,USD,168153477,19,Private,,Made Acquisitions,2,4,Late Stage Venture,2020-02-12,53000000,USD,53000000,Series C,,,
Encantos,https://www.crunchbase.com/organization/encantos,"Apps, Children, Consumer, Digital Entertainment, Education, Family, Subscription Service, Video","Culver City, California, United States",An entertainment education B-Corp building direct-to-consumer family brands inspiring 21st century kids to learn 21st century skills.,"2,699",$1M to $10M,2015-09-01,month,"Apps, Education, Media and Entertainment, Software, Video",4,1-10,2,2800000,USD,2800000,13,Private,,,,1,Seed,2020-01-27,2000000,USD,2000000,Seed,0,6,
Emerge,https://www.crunchbase.com/organization/emerge-io,"Augmented Reality, Consumer Electronics, Media and Entertainment, Telecommunications","Los Angeles, California, United States",We believe in a future where distance and time don’t stand in the way of feeling present.,"2,714",Less than $1M,2015-08-01,month,"Consumer Electronics, Hardware, Media and Entertainment, Software",3,11-50,4,18899998,USD,18899998,19,Private,,,,4,Early Stage Venture,2019-11-13,12000000,USD,12000000,Series A,0,8,
Inspire,https://www.crunchbase.com/organization/inspire-energy,"Clean Energy, Energy, Energy Efficiency, Home Services, Internet, Internet of Things, Real Estate, Smart Home, Solar","Santa Monica, California, United States","Consumer technology platform that powers cleaner, more efficient, and more sustainable homes.","2,757",$1M to $10M,2013-01-01,year,"Consumer Electronics, Energy, Internet Services, Natural Resources, Real Estate, Sustainability",1,101-250,3,38200000,USD,38200000,7,Private,,,1,1,Early Stage Venture,2015-02-20,5000000,USD,5000000,Series A,0,12,
FIGS,https://www.crunchbase.com/organization/figs,"Consumer Goods, Fashion, Health Care, Retail","Los Angeles, California, United States",FIGS creates the highest quality medical apparel in the world.,"2,772",$10M to $50M,2013-02-01,month,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Health Care",2,11-50,4,75000000,USD,75000000,16,Private,,,,3,Early Stage Venture,2018-01-23,65000000,USD,65000000,Series B,0,12,
Connectivity,https://www.crunchbase.com/organization/connectivity,"Big Data, Business Intelligence, Consumer Reviews, Enterprise Software, Internet, Local, Marketing Automation, Mobile, Reputation, Search Engine","Burbank, California, United States",Customer intelligence and engagement solutions,"2,794",$1M to $10M,2013-01-01,year,"Commerce and Shopping, Data and Analytics, Information Technology, Internet Services, Mobile, Sales and Marketing, Software",2,51-100,1,10350000,USD,10350000,7,Private,,,,1,Early Stage Venture,2014-04-24,10350000,USD,10350000,Series A,0,5,
Anagram,https://www.crunchbase.com/organization/anagramcare,"FinTech, Health Care, Insurance, Internet, SaaS, Software","Santa Monica, California, United States",Anagram is an insurance billing automation SaaS for doctors and patients.,"2,803",$10M to $50M,2014-09-01,month,"Financial Services, Health Care, Internet Services, Software",3,51-100,4,14925000,USD,14925000,14,Private,,,1,2,Early Stage Venture,2020-02-28,9100000,USD,9100000,Series A,0,7,
SiLC Technologies,https://www.crunchbase.com/organization/silc-technologies,"3D Technology, Biometrics, Semiconductor, Sensor","Monrovia, California, United States",SiLC Technologies is a Silicon Photonics start up focusing on photonic Sensor and 3D imaging applications.,"2,810",,2018-01-01,year,"Biotechnology, Data and Analytics, Hardware, Science and Engineering, Software",,11-50,1,12000000,USD,12000000,3,Private,,,1,1,Seed,2020-03-04,12000000,USD,12000000,Seed,,,
CREXi,https://www.crunchbase.com/organization/crexi,"Commercial Real Estate, Marketplace, Real Estate","Venice, California, United States","CREXi is a commercial real estate marketplace for lease, buy, and sale.","2,811",Less than $1M,2015-01-01,year,"Commerce and Shopping, Real Estate",4,101-250,4,54000000,USD,54000000,13,Private,,,4,5,Early Stage Venture,2020-01-24,30000000,USD,30000000,Series B,0,1,
WorkClout,https://www.crunchbase.com/organization/workclout,"Manufacturing, SaaS, Software","Los Angeles, California, United States",WorkClout is a SaaS company that helps manufacturers increase their operational efficiency.,"2,833",,2018-01-01,year,"Manufacturing, Software",3,1-10,2,2450000,USD,2450000,7,Private,,,,2,Seed,2020-04-07,2300000,USD,2300000,Seed,,,
EquityBee,https://www.crunchbase.com/organization/equitybee,Financial Services,"Los Angeles, California, United States",EquityBee helps startup employees get the money they need to exercise their stock options before they expire by linking them to investors.,"2,840",$1M to $10M,2017-01-01,year,Financial Services,4,11-50,2,8300000,USD,8300000,9,Private,,,,2,Early Stage Venture,2020-02-11,6600000,USD,6600000,Series A,,,
Kite Pharma,https://www.crunchbase.com/organization/kite-pharma,"Biotechnology, Health Care, Medical","Los Angeles, California, United States",Kite Pharma is a development-stage biotechnology company designing and developing immune-based therapies to treat cancer indications..,"2,842",$10B+,2009-01-01,year,"Biotechnology, Health Care, Science and Engineering",2,51-100,4,85250000,USD,85250000,4,Delisted,2014-06-27,Was Acquired,,1,M&A,2014-04-28,50000000,USD,50000000,Venture - Series Unknown,,,
Aspiration,https://www.crunchbase.com/organization/aspiration,"Banking, Financial Services, FinTech, Sustainability","Marina Del Rey, California, United States","Aspiration is a financial firm with a conscience that is built for everyone, committed to giving and founded on trust.","2,871",$1M to $10M,2013-01-01,year,"Financial Services, Lending and Investments, Sustainability",2,101-250,3,65000000,USD,65000000,32,Private,,,,2,Early Stage Venture,2017-12-07,47000000,USD,47000000,Series B,1,56,
Heal,https://www.crunchbase.com/organization/heal,"Apps, Health Care, Health Diagnostics, Home Health Care, Personal Health","Century City, California, United States",Heal brings technology innovation to re-humanize the practice of medicine in a way that is fulfilling for doctors and patients alike.,"2,892",$10M to $50M,2014-10-01,day,"Apps, Health Care, Software",3,51-100,6,71100000,USD,71100000,26,Private,,Made Acquisitions,2,2,Late Stage Venture,2018-05-22,20000000,USD,20000000,Series C,0,3,
Movandi,https://www.crunchbase.com/organization/movandi,"Internet, Mobile, Wireless","Newport Beach, California, United States","Movandi is a venture-backed startup, formed by some of today’s top leaders in wireless communications. ","2,901",$1M to $10M,2016-01-01,year,"Hardware, Internet Services, Mobile",2,,2,29700000,USD,29700000,1,Private,,,2,1,Early Stage Venture,2017-11-09,20700000,USD,20700000,Series B,51,1,
Zest AI,https://www.crunchbase.com/organization/zestfinance,"Big Data, FinTech, Machine Learning, SaaS","Burbank, California, United States",The world's most innovative lenders use Zest AI software to make better decisions and better loans.,"2,952",$10M to $50M,2009-01-01,year,"Artificial Intelligence, Data and Analytics, Financial Services, Software",1,101-250,6,217000000,USD,217000000,12,Private,,,4,7,,2016-07-18,,,,Undisclosed,13,28,
Verishop,https://www.crunchbase.com/organization/verishop,"Consumer Goods, E-Commerce, Internet, Lifestyle","Santa Monica, California, United States","Verishop is a premium lifestyle company that offers everyday luxury in fashion, beauty, home, and more.","2,967",$1B to $10B,2018-11-01,month,"Commerce and Shopping, Community and Lifestyle, Consumer Goods, Internet Services",2,51-100,4,30400000,USD,30400000,6,Private,,,,1,,2019-11-26,400000,USD,400000,Venture - Series Unknown,0,9,
Fisker Automotive,https://www.crunchbase.com/organization/fisker-automotive,"Automotive, Autonomous Vehicles, Electric Vehicle, Manufacturing, Mobile, Transportation","Anaheim, California, United States",Fisker Automotive was an American company known for producing one of the world's first production luxury plug-in hybrid electric vehicles.,"2,980",$100M to $500M,2007-01-01,year,"Manufacturing, Mobile, Transportation",2,101-250,10,1476500000,USD,1476500000,10,Private,,Was Acquired,,2,M&A,2012-04-02,392000000,USD,392000000,Private Equity,0,1,
DAQRI,https://www.crunchbase.com/organization/daqri,"Augmented Reality, Enterprise Software, Hardware, Internet of Things, Wearables","Los Angeles, California, United States",DAQRI is professional-grade AR. We build the AR platform that empowers you solve the most meaningful problems.,"2,997",$10M to $50M,2010-01-01,year,"Consumer Electronics, Hardware, Internet Services, Software",3,101-250,2,275000000,USD,275000000,1,Private,,Made Acquisitions,12,1,Private Equity,2017-07-21,260000000,USD,260000000,Private Equity,119,35,
Alpha Foods,https://www.crunchbase.com/organization/alpha-foods,"Food and Beverage, Food Processing, Nutrition, Sustainability","Glendale, California, United States","Alpha Foods produces plant-based foods focused on taste, texture, and sustainability.","3,077",$10M to $50M,2015-01-01,year,"Food and Beverage, Health Care, Sustainability",2,1-10,2,35000000,USD,35000000,4,Private,,,,2,Early Stage Venture,2020-02-11,28000000,USD,28000000,Series A,0,2,
Marcus & Millichap,https://www.crunchbase.com/organization/marcus-millichap-venture-partners,"Commercial Real Estate, Finance, Real Estate, Real Estate Investment","Calabasas, California, United States","Marcus & Millichap helps create and preserve wealth with the best real estate investment sales, financing, research and advisory services.","3,081",$100M to $500M,1971-01-01,year,"Financial Services, Real Estate",2,1001-5000,2,28100000,USD,28100000,,Public,2013-11-08,Made Acquisitions,16,,IPO,2018-05-01,4000000,USD,4000000,Post-IPO Equity,0,3,
Pipe,https://www.crunchbase.com/organization/pipe-664c,"Finance, Financial Services, FinTech, IaaS, Internet, PaaS, SaaS, Software","Los Angeles, California, United States","Pipe gives SaaS companies control over their cash flow and access to the full annual value of their subscriptions, upfront.","3,094",,2019-09-01,month,"Financial Services, Internet Services, Software",3,1-10,1,6000000,USD,6000000,11,Private,,,,1,Seed,2020-02-25,6000000,USD,6000000,Seed,,,
TigerConnect,https://www.crunchbase.com/organization/tigertext,"Compliance, Enterprise, Health Care, Messaging, mHealth, Privacy, Text Analytics","Santa Monica, California, United States",TigerConnect is the largest provider of clinical communication & collaboration solutions.,"3,099",$10M to $50M,2010-02-01,day,"Data and Analytics, Health Care, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security, Professional Services, Software",3,101-250,6,103600000,USD,103600000,15,Private,,,,6,Late Stage Venture,2018-09-05,22500000,USD,22500000,Debt Financing,12,9,
rct studio,https://www.crunchbase.com/organization/rct-studio,"3D Technology, Artificial Intelligence, Film, Gaming, Virtual Reality","Los Angeles, California, United States","rct studio is a creative entertainment studio harnessing cutting-edge technology to offer a fully immersive, entertainment experience.","3,137",,2018-01-01,year,"Artificial Intelligence, Data and Analytics, Gaming, Hardware, Media and Entertainment, Science and Engineering, Software, Video",2,11-50,3,11500000,USD,11500000,3,Private,,,,3,Early Stage Venture,2019-04-15,10000000,USD,10000000,Series A,,,
