Organization/Person Name,Organization/Person Name URL,Location,Industries,CB Rank (Company),Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Patents,IPqwery - Trademarks
Marcus & Millichap,https://www.crunchbase.com/organization/marcus-millichap-venture-partners,"Calabasas, California, United States","Commercial Real Estate, Finance, Real Estate, Real Estate Investment","3,169","Marcus & Millichap helps create and preserve wealth with the best real estate investment sales, financing, research and advisory services.",$100M to $500M,1971-01-01,year,"Financial Services, Real Estate",2,1001-5000,2,28100000,USD,28100000,,Public,2013-11-08,Made Acquisitions,16,,IPO,2018-05-01,4000000,USD,4000000,Post-IPO Equity,0,3
Karma Automotive,https://www.crunchbase.com/organization/karma-automotive,"Irvine, California, United States","Automotive, Developer Platform, Manufacturing","3,180","Karma Automotive designs, engineers, assembles and markets luxury electric vehicles, all from its Southern California base of operations.",$50M to $100M,2015-09-30,day,"Manufacturing, Software, Transportation",,501-1000,1,7000000,SEK,758798,1,Private,,,,1,,2016-11-21,7000000,SEK,758798,Venture - Series Unknown,42,53
Skyryse,https://www.crunchbase.com/organization/skyryse,"Los Angeles, California, United States","Aerospace, Air Transportation, Internet, Transportation","3,181",Skyryse is an air mobility company on a mission to connect everyone with the people and places that matter most.,$1M to $10M,2016-01-01,year,"Internet Services, Science and Engineering, Transportation",2,11-50,3,38000000,USD,38000000,11,Private,,,,1,Early Stage Venture,2019-12-17,13000000,USD,13000000,Series B,9,6
Beautycounter,https://www.crunchbase.com/organization/beautycounter,"Santa Monica, California, United States","Beauty, Consumer Goods, Cosmetics, E-Commerce, Health Care","3,185",Beautycounter is a Santa Monica-based beauty brand that distributes products through relationship networks and online.,$50M to $100M,2012-01-01,year,"Commerce and Shopping, Consumer Goods, Health Care",1,51-100,4,86269417,USD,86269417,4,Private,,Made Acquisitions,2,2,,2018-01-05,65000000,USD,65000000,Venture - Series Unknown,1,90
TaskUs,https://www.crunchbase.com/organization/taskus,"Santa Monica, California, United States","Call Center, Customer Service, Outsourcing","3,193",TaskUs is a customer care and back office support company that helps companies provide exceptional experiences for their customers.,$100M to $500M,2008-01-01,year,"Administrative Services, Professional Services",2,10001+,3,279000000,USD,279000000,3,Private,,,2,2,Private Equity,2018-08-09,250000000,USD,250000000,Private Equity,0,4
STX Entertainment,https://www.crunchbase.com/organization/stx-entertainment,"Burbank, California, United States","Digital Entertainment, Film Distribution, Film Production, TV Production","3,194","STX Entertainment is a global media company that creates, produces, distributes, finances and markets film, television and digital media. ",$10M to $50M,2014-03-01,month,"Media and Entertainment, Video",2,101-250,2,700000000,USD,700000000,9,Private,,Made Acquisitions,,4,Private Equity,2019-03-11,700000000,USD,700000000,Private Equity,,
Tongal,https://www.crunchbase.com/organization/tongal,"Santa Monica, California, United States","Communities, Content Creators, Media and Entertainment, Video","3,221","Tongal is an online platform for content creation, used by studios, brands, and talent from all over the world.",$10M to $50M,2009-01-01,year,"Community and Lifestyle, Media and Entertainment, Video",3,11-50,5,36246010,USD,36246010,2,Private,,,1,1,Late Stage Venture,2020-03-03,13000000,USD,13000000,Series D,0,7
Zest AI,https://www.crunchbase.com/organization/zestfinance,"Burbank, California, United States","Big Data, FinTech, Machine Learning, SaaS","3,223",The world's most innovative lenders use Zest AI software to make better decisions and better loans.,$10M to $50M,2009-01-01,year,"Artificial Intelligence, Data and Analytics, Financial Services, Software",1,101-250,6,217000000,USD,217000000,12,Private,,,4,7,,2016-07-18,,,,Undisclosed,13,28
The Black Tux,https://www.crunchbase.com/organization/the-black-tux,"Santa Monica, California, United States","Fashion, Internet, Rental","3,228",The Black Tux is a tuxedo and suit rental service.,$1M to $10M,2012-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design, Internet Services",3,101-250,4,62600000,USD,62600000,13,Private,,,,4,Late Stage Venture,2018-03-08,30000000,USD,30000000,Series C,0,3
Obsidian Entertainment,https://www.crunchbase.com/organization/obsidian-entertainment,"Irvine, California, United States","Asset Management, Gaming, Media and Entertainment, Video Games","3,253",Obsidian Entertainment is an American role-playing video game.,,2003-01-01,year,"Financial Services, Gaming, Media and Entertainment",5,51-100,3,4907598,USD,4907598,1,Private,,Was Acquired,,,M&A,2017-02-24,4407598,USD,4407598,Equity Crowdfunding,0,29
UST Global,https://www.crunchbase.com/organization/ust-global,"Aliso Viejo, California, United States","Consulting, Information Services, Information Technology","3,259",Information Technology Services and Solutions Provider.,$500M to $1B,1998-01-01,year,Information Technology,1,10001+,1,250000000,USD,250000000,1,Private,,Made Acquisitions,11,1,Private Equity,2018-06-27,250000000,USD,250000000,Private Equity,0,9
TigerConnect,https://www.crunchbase.com/organization/tigertext,"Santa Monica, California, United States","Compliance, Enterprise, Health Care, Messaging, mHealth, Privacy, Text Analytics","3,264",TigerConnect is the largest provider of clinical communication & collaboration solutions.,$10M to $50M,2010-02-01,day,"Data and Analytics, Health Care, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Privacy and Security, Professional Services, Software",3,101-250,6,103600000,USD,103600000,15,Private,,,,6,Late Stage Venture,2018-09-05,22500000,USD,22500000,Debt Financing,12,9
Overnight,https://www.crunchbase.com/organization/overnight,"Los Angeles, California, United States","Apps, Travel","3,273","Overnight is a mobile-forward, last-minute booking app that facilitates same-day stays with local hosts",$1M to $10M,2015-01-01,year,"Apps, Software, Travel and Tourism",3,1-10,2,2650000,USD,2650000,24,Private,,,,2,Seed,2016-02-25,2500000,USD,2500000,Seed,0,1
Herbalife Nutrition Ltd.,https://www.crunchbase.com/organization/herbalife-ltd,"Los Angeles, California, United States","Direct Sales, Fitness, Health Care, Nutrition, Wellness","3,347",Herbalife is a global nutrition company that has helped people pursue healthy.,$1B to $10B,1980-01-01,year,"Food and Beverage, Health Care, Sales and Marketing, Sports",1,5001-10000,1,1450000000,USD,1450000000,2,Public,2004-12-23,Made Acquisitions,,2,IPO,2017-02-15,1450000000,USD,1450000000,Post-IPO Debt,,
Measured,https://www.crunchbase.com/organization/measured,"Santa Monica, California, United States","Analytics, SaaS","3,391",Measured is an enterprise SaaS platform built to service brands with growth analytics.,,2017-02-01,day,"Data and Analytics, Software",2,,1,750000,USD,750000,1,Private,,,,1,,2020-03-18,750000,USD,750000,Debt Financing,,
rct studio,https://www.crunchbase.com/organization/rct-studio,"Los Angeles, California, United States","3D Technology, Artificial Intelligence, Film, Gaming, Virtual Reality","3,401","rct studio is a creative entertainment studio harnessing cutting-edge technology to offer a fully immersive, entertainment experience.",,2018-01-01,year,"Artificial Intelligence, Data and Analytics, Gaming, Hardware, Media and Entertainment, Science and Engineering, Software, Video",2,11-50,3,11500000,USD,11500000,3,Private,,,,3,Early Stage Venture,2019-04-15,10000000,USD,10000000,Series A,,
Good Money,https://www.crunchbase.com/organization/good-money,"Marina Del Rey, California, United States","Banking, FinTech, Mobile Apps","3,419",Good Money (goodmoney.com) is a conscious digital banking platform.,$1M to $10M,2018-01-01,year,"Apps, Financial Services, Lending and Investments, Mobile, Software",6,,3,30000000,USD,30000000,19,Private,,,1,1,Early Stage Venture,2019-03-18,,,,Series A,0,29
Stone Canyon Industries,https://www.crunchbase.com/organization/stone-canyon-industries,"Santa Monica, California, United States",Information Technology,"3,482",Stone Canyon specializes in creating value utilizing a patient capital approach.,$1B to $10B,2014-01-01,year,Information Technology,1,,1,1800000000,USD,1800000000,,Private,,Made Acquisitions,,,Private Equity,2019-06-18,1800000000,USD,1800000000,Private Equity,0,3
Boingo Wireless,https://www.crunchbase.com/organization/boingo-wireless,"Los Angeles, California, United States","Software, Telecommunications, Wireless","3,492",Boingo Wireless is a company providing mobile internet through Wi-Fi networks globally.,$50M to $100M,2001-01-01,year,"Hardware, Mobile, Software",1,501-1000,4,140000000,USD,140000000,8,Public,2011-05-04,Made Acquisitions,2,1,IPO,2014-12-01,50000000,USD,50000000,Post-IPO Debt,10,17
Kareo,https://www.crunchbase.com/organization/kareo,"Irvine, California, United States","Cloud Computing, Electronic Health Record (EHR), Health Care, Medical, Software","3,507",Kareo delivers cloud-based software that helps independent practices run a successful business and provide better patient care.,$10M to $50M,2004-02-01,day,"Health Care, Internet Services, Software",1,501-1000,12,163188999,USD,163188999,11,Private,,Made Acquisitions,,5,,2018-09-24,9899000,USD,9899000,Venture - Series Unknown,0,4
Beyond Limits,https://www.crunchbase.com/organization/beyond-limits,"Glendale, California, United States","Artificial Intelligence, Internet of Things, Machine Learning, Software","3,520",Beyond Limits is a pioneering artificial intelligence company with a unique heritage from the NASA space program.,$10M to $50M,2014-01-01,month,"Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software",2,101-250,2,25500000,USD,25500000,1,Private,,,23,1,Early Stage Venture,2017-06-07,20000000,USD,20000000,Series B,4,4
Driivz,https://www.crunchbase.com/organization/driivz,"Sherman Oaks, California, United States","Automotive, Electric Vehicle, Information Technology, Software","3,547","Driivz is a powerful, user-friendly, charging management software platform.",$1M to $10M,2012-01-01,year,"Information Technology, Software, Transportation",1,,1,11000000,USD,11000000,4,Private,,,,3,Late Stage Venture,2020-02-19,11000000,USD,11000000,Series C,,
Ordermark,https://www.crunchbase.com/organization/ordermark,"Playa Vista, California, United States","Food and Beverage, SaaS","3,580",Ordermark is an online ordering management system for restaurants.,Less than $1M,2017-01-10,day,"Food and Beverage, Software",4,101-250,5,30600000,USD,30600000,12,Private,,,1,3,Early Stage Venture,2019-07-29,18000000,USD,18000000,Series B,0,2
"Prodege, LLC",https://www.crunchbase.com/organization/prodege,"El Segundo, California, United States","Advertising, Digital Media, E-Commerce, Gift Card, Market Research, Mobile, Search Engine, Virtual Currency","3,787","Prodege, LLC is a leading Internet and media company that operates multiple customer engagement brands.",$50M to $100M,2005-07-01,day,"Advertising, Commerce and Shopping, Data and Analytics, Design, Financial Services, Internet Services, Media and Entertainment, Mobile, Payments, Sales and Marketing, Software",2,101-250,1,60000000,USD,60000000,1,Private,,Made Acquisitions,2,1,Early Stage Venture,2014-04-01,60000000,USD,60000000,Series A,0,14
NextVR,https://www.crunchbase.com/organization/nextvr,"Newport Beach, California, United States","Broadcasting, Media and Entertainment, Virtual Reality","3,804",NextVR is a technology company that captures and delivers live and on-demand virtual reality experiences.,$10M to $50M,2009-01-01,year,"Hardware, Media and Entertainment, Software, Video",3,51-100,3,115500000,USD,115500000,11,Private,,,3,3,Early Stage Venture,2016-08-09,80000000,USD,80000000,Series B,68,8
SRAX,https://www.crunchbase.com/organization/srax,"Los Angeles, California, United States","Big Data, Digital Marketing, Information Technology, Internet","3,825",A digital marketing and consumer data management and distribution technology platform company.,$1M to $10M,2010-03-01,day,"Data and Analytics, Information Technology, Internet Services, Sales and Marketing",3,251-500,6,27131159,USD,27131159,4,Public,2012-10-01,Made Acquisitions,2,3,IPO,2020-03-05,,,,Post-IPO Debt,1,7
Enevate,https://www.crunchbase.com/organization/enevate,"Irvine, California, United States","Battery, Electric Vehicle, Energy, Energy Storage, Manufacturing, Renewable Energy","3,881",Enevate Corporation is a rechargeable energy storage technology company delivering innovative battery capacity in Li-ion ecosystem.,$1M to $10M,2005-01-01,year,"Energy, Manufacturing, Sustainability, Transportation",1,51-100,6,111600000,USD,111600000,12,Private,,,1,3,,2019-04-16,,,,Corporate Round,37,14
Stance,https://www.crunchbase.com/organization/stance,"San Clemente, California, United States","Fashion, Lifestyle, Wearables","3,922",Stance is a premium sock brand dedicated to the spirit of individuality. ,$10M to $50M,2009-01-01,year,"Clothing and Apparel, Community and Lifestyle, Consumer Electronics, Design, Hardware",5,101-250,5,116000000,USD,116000000,21,Private,,,,2,Late Stage Venture,2016-04-28,30000000,USD,30000000,Series D,1,31
Chrome River Technologies,https://www.crunchbase.com/organization/chrome-river-technologies,"Los Angeles, California, United States","Accounting, Business Travel, Compliance, Enterprise Applications, Information Technology, SaaS, Software, Web Apps","3,924",Chrome River Technologies is a global provider of expense reporting and invoice management.,$10M to $50M,2007-01-01,year,"Apps, Financial Services, Information Technology, Professional Services, Software, Travel and Tourism",2,251-500,5,155000000,USD,155000000,8,Private,,"Made Acquisitions, Was Acquired",8,5,M&A,2018-01-04,35000000,USD,35000000,Venture - Series Unknown,0,6
influence.co,https://www.crunchbase.com/organization/influence-co-2,"West Hollywood, California, United States","Brand Marketing, Communities, Marketing","3,946","A professional platform that connects the influencer economy through inspiring content, supportive community, and collaborative commerce",,2016-01-01,day,"Community and Lifestyle, Sales and Marketing",3,11-50,4,3900000,USD,3900000,11,Private,,,,3,Seed,2020-03-11,3050000,USD,3050000,Seed,,
Ephesoft,https://www.crunchbase.com/organization/ephesoft,"Laguna Hills, California, United States","Finance, Financial Services, Software","3,956",Intelligent Document Capture Platform,$10M to $50M,2010-01-01,year,"Financial Services, Software",1,101-250,1,15000000,USD,15000000,1,Private,,,5,1,Early Stage Venture,2017-07-11,15000000,USD,15000000,Series A,5,1
Virgin Hyperloop One,https://www.crunchbase.com/organization/hyperloop-technolgies,"Los Angeles, California, United States","Industrial Engineering, Transportation, Travel","3,968",Hyperloop One reinvents transportation to eliminate barriers of time.,$50M to $100M,2014-01-01,year,"Manufacturing, Science and Engineering, Transportation, Travel and Tourism",3,101-250,8,368426737,USD,368426737,35,Private,,,4,4,,2019-05-13,172226737,USD,172226737,Venture - Series Unknown,41,19
Surkus,https://www.crunchbase.com/organization/surkus,"Los Angeles, California, United States","Advertising, Brand Marketing, Event Promotion, Marketing, Small and Medium Businesses","4,059",Experiential platform giving members exclusive access to paid events and offers in exchange for brand engagement.,,2015-01-01,year,"Advertising, Events, Media and Entertainment, Sales and Marketing",1,51-100,3,15000000,USD,15000000,9,Private,,Made Acquisitions,3,2,,2018-05-24,6000000,USD,6000000,Undisclosed,0,2
Appetize,https://www.crunchbase.com/organization/appetize,"Los Angeles, California, United States","Apps, Events, Information Technology, Mobile, Software","4,072","Appetize develops point-of-sale and payment systems for entertainment, leisure and education enterprise businesses around the world.",$1M to $10M,2011-09-01,month,"Apps, Events, Information Technology, Media and Entertainment, Mobile, Software",3,251-500,6,77387354,USD,77387354,6,Private,,,,2,Early Stage Venture,2018-08-09,10000000,USD,10000000,Series B,0,4
NeuroVasc Technologies,https://www.crunchbase.com/organization/neurovasc-technologies,"Laguna Hills, California, United States","Health Care, Medical, Medical Device, Neuroscience","4,079",NeuroVasc Technologies is a medical device company that develops a catheter-based technology to treat neurovascular diseases.,$1M to $10M,2015-01-01,year,"Biotechnology, Health Care, Science and Engineering",1,,4,42750000,USD,42750000,2,Private,,,,2,,2020-02-27,34000000,USD,34000000,Venture - Series Unknown,9,4
Oblong Industries,https://www.crunchbase.com/organization/oblong,"Los Angeles, California, United States","Collaboration, Hardware, Software","4,105",Oblong develops gesture-based computing tools.,$10M to $50M,2006-01-01,year,"Hardware, Software",2,101-250,8,103729995,USD,103729995,10,Private,,,5,1,Late Stage Venture,2016-10-18,35000000,USD,35000000,Series D,59,5
Flo Technologies,https://www.crunchbase.com/organization/flo-technologies,"Culver City, California, United States","Hardware, Internet of Things, Security, Smart Building, Smart Home, Software, Water","4,111",Flo prevents water damage and unnecessary water waste in homes with its Flo by Moen smart home water monitoring and leak protection system.,$1M to $10M,2015-04-01,month,"Consumer Electronics, Hardware, Internet Services, Natural Resources, Privacy and Security, Real Estate, Software",2,11-50,3,39250000,USD,39250000,9,Private,,,6,1,Early Stage Venture,2019-01-03,28000000,USD,28000000,Series B,9,24
Ownzones Entertainment Technology,https://www.crunchbase.com/organization/ownzones-media,"Beverly Hills, California, United States","Advertising, Digital Entertainment, Digital Media, Internet, Media and Entertainment, News, Video Streaming","4,122",OWNZONES Media Network makes it easy and affordable for content owners and creators to enter the OTT market,$1M to $10M,2010-01-01,year,"Advertising, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing, Video",1,11-50,4,27330000,USD,27330000,,Private,,,2,,Early Stage Venture,2015-12-14,20000000,USD,20000000,Series A,0,10
Hollar,https://www.crunchbase.com/organization/hollar-2,"Commerce, California, United States","Consumer Electronics, E-Commerce, Retail","4,140",So. Much. Good. Stuff. Meet Hollar—your destination for thousands of awesome gifts and goods starting at just $2.,$10M to $50M,2015-01-01,year,"Commerce and Shopping, Consumer Electronics, Hardware",4,11-50,4,77549995,USD,77549995,9,Private,,Was Acquired,,3,M&A,2017-12-05,29999995,USD,29999995,Series C,0,4
Whip Media Group,https://www.crunchbase.com/organization/whipclip,"Santa Monica, California, United States","Content, Internet, Social Media, TV, Video","4,148",Whip Media Group tracks consumer actions and financial transactions to accelerate innovation for buyers and sellers of content.,$1M to $10M,2014-01-01,year,"Internet Services, Media and Entertainment, Video",3,101-250,5,115000000,USD,115000000,15,Private,,Made Acquisitions,,2,Late Stage Venture,2020-01-29,50000000,USD,50000000,Series D,0,3
Happy Returns,https://www.crunchbase.com/organization/happy-returns,"Santa Monica, California, United States","Customer Service, E-Commerce, Retail Technology","4,159",Happy Returns provides comprehensive return solutions for leading online and omni-channel retailers and their customers.,$1M to $10M,2015-09-01,month,"Commerce and Shopping, Hardware, Software",2,51-100,5,25020000,USD,25020000,8,Private,,,,3,,2019-04-25,11000000,USD,11000000,Venture - Series Unknown,0,3
Tradesy,https://www.crunchbase.com/organization/tradesy,"Santa Monica, California, United States","E-Commerce, Fashion, Internet, Retail","4,163","Tradesy is marketplace where millions of women come to buy and sell clothing, bags and accessories.",$1M to $10M,2012-10-24,day,"Clothing and Apparel, Commerce and Shopping, Design, Internet Services",3,101-250,5,74500000,USD,74500000,15,Private,,Made Acquisitions,2,3,,2018-03-25,,,,Venture - Series Unknown,0,3
DISQO,https://www.crunchbase.com/organization/disqo,"Glendale, California, United States","Analytics, Consumer Research, Information Technology, Market Research","4,202",DISQO provides opinion and behavior data to deliver the most complete view of the consumer.,$1M to $10M,2015-01-01,month,"Data and Analytics, Design, Information Technology",3,101-250,2,16500000,USD,16500000,2,Private,,,1,1,Early Stage Venture,2018-08-14,13500000,USD,13500000,Series A,0,1
Endpoint,https://www.crunchbase.com/organization/endpoint,"El Segundo, California, United States","Information Services, Information Technology, Real Estate, Real Estate Investment, Software","4,227","Endpoint is a mobile-first Title and Escrow company, built from the ground up to deliver a radically improved closing experience",$50M to $100M,2018-01-01,year,"Financial Services, Information Technology, Real Estate, Software",1,51-100,2,37000000,USD,37000000,1,Private,,,,1,,2019-11-12,30000000,USD,30000000,Corporate Round,0,4
OpenX,https://www.crunchbase.com/organization/openx,"Pasadena, California, United States","Advertising, Advertising Platforms, Enterprise Software, Internet","4,237",OpenX provides digital and advertising technologies that optimize a company's advertising revenue.,$50M to $100M,2007-01-01,year,"Advertising, Internet Services, Sales and Marketing, Software",2,251-500,7,70511200,USD,70511200,16,Private,,Made Acquisitions,23,4,,2015-06-01,,,,Secondary Market,,
Ten-X,https://www.crunchbase.com/organization/ten-x,"Irvine, California, United States","Commercial Real Estate, E-Commerce, Information Technology, Marketplace, Online Portals, Real Estate","4,300",Ten-X provides online real estate services.,$100M to $500M,1990-01-01,year,"Commerce and Shopping, Information Technology, Internet Services, Real Estate",3,501-1000,3,141750000,USD,141750000,3,Private,,"Made Acquisitions, Was Acquired",4,2,M&A,2014-03-05,50000000,USD,50000000,Venture - Series Unknown,6,1
Gem,https://www.crunchbase.com/organization/gem,"Venice, California, United States","Cryptocurrency, FinTech, Internet, Security, Software","4,309",Gem is one of the most trusted cryptocurrency and blockchain brands in the world.,$1M to $10M,2013-11-01,month,"Financial Services, Internet Services, Payments, Privacy and Security, Software",1,11-50,6,20457493,USD,20457493,23,Private,,,4,5,Early Stage Venture,2017-09-01,7957493,USD,7957493,Series A,1,0
HUM Nutrition,https://www.crunchbase.com/organization/hum-nutrition,"Los Angeles, California, United States","Beauty, Consumer Goods, Health Care, Nutrition, Wellness","4,327",HUM is the leading beauty nutrition brand with the mission is to help you look and feel your absolute best all the time.,Less than $1M,2012-01-01,year,"Consumer Goods, Food and Beverage, Health Care",2,11-50,2,20000000,USD,20000000,4,Private,,,,2,Early Stage Venture,2019-04-29,15000000,USD,15000000,Series B,0,41
CATASYS,https://www.crunchbase.com/organization/catasys,"Santa Monica, California, United States","Health Care, Hospital, Medical","4,388","Catasys provides health management services for health plans, employers and unions through a network of licensed healthcare providers.",$10M to $50M,2009-01-01,year,Health Care,1,11-50,16,79149480,USD,79149480,3,Private,,,,3,,2019-09-24,45000000,USD,45000000,Debt Financing,0,3
Securonix,https://www.crunchbase.com/organization/securonix-inc-,"Los Angeles, California, United States",Cyber Security,"4,395",Securonix delivers a  security analytics and operations management platform for the modern era of big data and advanced cyber threats.,$50M to $100M,2008-01-01,year,"Information Technology, Privacy and Security",2,251-500,1,29000000,USD,29000000,2,Private,,,28,1,Early Stage Venture,2017-09-20,29000000,USD,29000000,Series A,2,0
TechStyle Fashion Group,https://www.crunchbase.com/organization/justfabulous,"El Segundo, California, United States","E-Commerce, Fashion, Lifestyle, Retail, Shoes","4,396", TechStyle is a global membership fashion commerce company focused on reimagining the global fashion business.,$100M to $500M,2010-02-01,day,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design",2,1001-5000,7,336000000,USD,336000000,10,Private,,Made Acquisitions,1,3,,2019-11-19,,,,Venture - Series Unknown,0,21
Tastemade,https://www.crunchbase.com/organization/tastemade,"Santa Monica, California, United States","Content, Cooking, Food Delivery, Internet, Media and Entertainment, Video Editing","4,435",We created Tastemade with one goal in mind: to connect the world through food.,$10M to $50M,2012-01-01,year,"Content and Publishing, Food and Beverage, Internet Services, Media and Entertainment, Transportation, Video",3,251-500,5,115300000,USD,115300000,10,Private,,,1,4,Late Stage Venture,2018-10-17,35000000,USD,35000000,Series E,0,32
Live.me,https://www.crunchbase.com/organization/live-me,"West Hollywood, California, United States","Broadcasting, Mobile Apps, Online Games, Video Streaming","4,436","Live.me is a live broadcasting app that lets you discover new content, find cool people, build a community, and earn cash rewards.",,2016-01-01,year,"Apps, Content and Publishing, Gaming, Media and Entertainment, Mobile, Software, Video",1,11-50,2,110000000,USD,110000000,6,Private,,,1,2,Early Stage Venture,2017-11-08,50000000,USD,50000000,Series B,,
Inari Medical,https://www.crunchbase.com/organization/inari-medical,"Aliso Viejo, California, United States","Health Care, Medical, Medical Device","4,519",Inari Medical is a medical device company developing devices for the interventional treatment of cardiovascular diseases.,$1M to $10M,2011-01-01,year,Health Care,3,11-50,4,44135000,USD,44135000,3,Private,,,,3,Late Stage Venture,2018-03-29,20900000,USD,20900000,Series C,30,10
Parachute Home,https://www.crunchbase.com/organization/parachute,"Culver City, California, United States","E-Commerce, Home Decor, Interior Design, Retail","4,546",Parachute makes modern Bedding and Bath essentials for a more comfortable home. ,,2013-01-01,year,"Commerce and Shopping, Design, Real Estate",1,51-100,6,44835181,USD,44835181,14,Private,,,1,2,Late Stage Venture,2018-06-27,30000000,USD,30000000,Series C,0,3
Telogis,https://www.crunchbase.com/organization/telogis,"Aliso Viejo, California, United States","Enterprise Software, Fleet Management, Navigation, SaaS, Software, Transportation","4,608","An award-winning, cloud-based software platform that has a transformative effect on the way companies do business outside the four walls.",$100M to $500M,2001-03-01,day,"Navigation and Mapping, Software, Transportation",3,501-1000,7,141280000,USD,141280000,4,Private,,"Made Acquisitions, Was Acquired",4,2,M&A,2015-05-18,40000000,USD,40000000,Undisclosed,7,10
Lucy Goods,https://www.crunchbase.com/organization/lucy-goods,"Los Angeles, California, United States",Consumer,"4,620",Lucy Goods operates as a nicotine alternative company.,,2016-01-01,year,,,1-10,1,10000000,USD,10000000,7,Private,,,,1,Early Stage Venture,2020-02-24,10000000,USD,10000000,Series A,,
"InvestCloud, Inc.",https://www.crunchbase.com/organization/investcloud,"West Hollywood, California, United States","Cloud Management, Outsourcing, Software","4,687","First-class, digital solutions, pre-integrated in the cloud. Modular platform. Beautifully designed client experiences.",$10M to $50M,2010-01-01,year,"Information Technology, Internet Services, Professional Services, Software",6,251-500,4,54060000,USD,54060000,5,Private,,Made Acquisitions,27,2,Private Equity,2016-09-21,,,,Private Equity,11,11
Blue,https://www.crunchbase.com/organization/blue-4,"Riverside, California, United States","Computer, Software","4,691",Blue is a revolutionary app that allows you to connect with and get to know the people around you using Bluetooth.,$1M to $10M,2016-04-01,month,"Consumer Electronics, Hardware, Software",1,,1,400000,USD,400000,,Private,,,,,Seed,2016-10-01,400000,USD,400000,Seed,0,3
ResortPass,https://www.crunchbase.com/organization/resortpass,"Santa Monica, California, United States","Hospitality, Internet, Leisure, Travel","4,739","ResortPass is an online booking platform for access to resorts and hotels for the pool, spa, fitness, and amenities.",,2016-01-01,year,"Community and Lifestyle, Internet Services, Travel and Tourism",2,11-50,3,11700000,USD,11700000,12,Private,,,,1,Early Stage Venture,2019-08-19,9000000,USD,9000000,Series A,0,1
Scanwell Health,https://www.crunchbase.com/organization/scanwell-health,"Los Angeles, California, United States","Health Care, Medical, Medical Device, Personal Health","4,797",Scanwell Health is an FDA-cleared urine testing application.,Less than $1M,2018-01-01,year,Health Care,1,,3,3620000,USD,3620000,10,Private,,,1,,Seed,2019-11-05,3500000,USD,3500000,Seed,4,1
Pop,https://www.crunchbase.com/organization/popinc,"Santa Monica, California, United States","Computer, Messaging, Software","4,830",Pop is the social platform for the generation that never got to experience Facebook.,,2016-11-22,day,"Consumer Electronics, Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Software",2,11-50,1,1250000,USD,1250000,2,Private,,,,,Seed,2018-08-31,1250000,USD,1250000,Seed,0,3
Saviynt,https://www.crunchbase.com/organization/saviynt,"El Segundo, California, United States","Cloud Data Services, Enterprise Software, Security","4,854","Saviynt enables enterprises to secure applications, data and infrastructure in a single platform for cloud and enterprise.",$10M to $50M,2010-01-01,day,"Information Technology, Internet Services, Privacy and Security, Software",1,101-250,1,40000000,USD,40000000,1,Private,,,31,1,Early Stage Venture,2018-04-18,40000000,USD,40000000,Series A,,
NantHealth,https://www.crunchbase.com/organization/nanthealth,"Culver City, California, United States","Health Care, Hospital","4,871",NantHealth is a healthcare company providing an evidence-based platform for healthcare diagnostics.,$10M to $50M,2007-01-01,year,Health Care,1,251-500,8,547500000,USD,547500000,6,Public,2016-06-03,Made Acquisitions,,6,IPO,2016-01-01,52500000,USD,52500000,Venture - Series Unknown,21,34
Carbon38,https://www.crunchbase.com/organization/carbon38,"Culver City, California, United States","E-Commerce, Fashion, Retail","4,879",Carbon38 is the premier e-commerce destination for performance fashion,$1M to $10M,2012-07-18,day,"Clothing and Apparel, Commerce and Shopping, Design",2,51-100,7,39100000,USD,39100000,11,Private,,,,2,Early Stage Venture,2019-02-10,10000000,USD,10000000,Convertible Note,0,7
Obsidian Security,https://www.crunchbase.com/organization/obsidian-security,"Newport Beach, California, United States","Computer, Cyber Security, Network Security","4,892",A leading provider of cloud identity protection for the enterprise.,Less than $1M,2017-01-01,year,"Consumer Electronics, Hardware, Information Technology, Privacy and Security",3,11-50,2,29500000,USD,29500000,3,Private,,,3,2,Early Stage Venture,2019-02-27,20000000,USD,20000000,Series B,0,1
Whatnot,https://www.crunchbase.com/organization/whatnot,"Marina Del Rey, California, United States","E-Commerce, Marketplace, Trading Platform","4,927",Whatnot is a marketplace to buy and sell authentic collectible items.,,2019-12-01,day,"Commerce and Shopping, Financial Services, Lending and Investments",3,1-10,2,720000,USD,720000,3,Private,,,,1,Seed,2020-03-16,150000,USD,150000,Pre-Seed,,
