Full Description,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Number of Employees,Number of Founders,Industry Groups,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,IPO Status,Number of Events
"Beats Electronics offers premium consumer headphones, earphones and speakers, software technology and streaming music subscription services. The company's mission is to provide a superior end-to-end music experience - with headphones, devices and services - so fans feel the emotion and hear the music the way artists intended it to sound from the studio. This experience is aided by partnerships with HP, Chrysler Group and HTC Mobile. Led by Co-Founder & CEO Jimmy Iovine, Co-Founder Dr. Dre, and President Luke Wood, Beats Electronics is based in Santa Monica, CA. NEWS & EVENTSBeats Electronics is the brainchild of legendary artist and producer Dr. Dre and Jimmy Iovine, Chairman of Interscope Geffen A&M Records, who set out to develop a new type of headphone with the capability to reproduce the full spectrum of sound that musical artists and producers hear in professional recording studios.",Beats Electronics,https://www.crunchbase.com/organization/beats-by-dr-dre,"Consumer Electronics, Hardware, Media and Entertainment, Music, Software","Santa Monica, California, United States","Beats Electronics offers premium consumer headphones, earphones and speakers, software technology and streaming music subscription services.",2,M&A,800000000,USD,800000000,187,$1B to $10B,Active,2006-01-01,year,2014-05-28,day,For Profit,http://beatsbydre.com,501-1000,2,"Consumer Electronics, Hardware, Media and Entertainment, Music and Audio, Software","The Carlyle Group, HTC",2,2,1,"Made Acquisitions, Was Acquired",Private,
"Grindr is an all-male location-based network that allows gay, bi, or curious men to connect and hang out with one another. Since launching in March 2009, Grindr has become a global sensation and surpassed 7 million users in 192 countries.  On a daily basis, Grindr counts some 1.2 million users who log on approximately eight times per day and spend an average of two hours each day using the app. Grindr also offers a fully loaded, premium subscription-based service called Grindr Xtra. Grindr is currently available on the iPhone, iPod touch, iPad, Android and BlackBerry models. For more information about Grindr, visit www.Grindr.com. In 2011, Grindr launched Grindr for Equality, its social action division. Grindr for Equality works diligently to engage the Grindr network in a variety of ways to help bring about a more equal tomorrow. Initiatives include helping to promote a documentary on the conditions of the Jamaican LGBT community and driving donations and signatures for petitions to denounce anti-homosexuality policies in Turkey, Uganda, Ukraine and Russia.",Grindr,https://www.crunchbase.com/organization/grindr,"Apps, iOS, LGBT, Location Based Services, Social Media, Social Network","West Hollywood, California, United States","Grindr is a location-based social application for gay, bi, trans, queer people and other members of the LGBT community.",1,M&A,93000000,USD,93000000,191,$10M to $50M,Active,2008-02-03,day,2020-03-06,day,For Profit,http://www.grindr.com,51-100,2,"Apps, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Navigation and Mapping, Platforms, Software",,,,,Was Acquired,Private,4
"Fair is a car leasing company that aims to grant access to mobility to everyone by pioneering the car-as-a-service (CaaS) concept. It gives customers the freedom to drive the car they want for as long as they want, and the flexibility to walk away at any time. Fair was founded on 2016 and is headquartered in Santa Monica, California.",Fair,https://www.crunchbase.com/organization/fair,"Automotive, Internet, Leasing","Santa Monica, California, United States",Fair is a car leasing company that is revolutionizing the car-as-a-service concept.,10,Early Stage Venture,2101000000,USD,2101000000,219,$100M to $500M,Active,2016-01-01,year,,,For Profit,https://www.fair.com/,101-250,6,"Financial Services, Internet Services, Transportation","SoftBank, Foundation Capital, FJ Labs, G Squared, SoftBank Vision Fund",9,35,4,Made Acquisitions,Private,
"Snap, formerly Snapchat Inc, is a privately owned multinational camera company. Snap is behind Snapchat, a photo messaging app that allows users to take photos, record videos, add text and drawings, and send them to recipients. In 2016, it released Spectacles, video-sharing sunglasses that free the Snapchat app from smartphone cameras.",SnapChat,https://www.crunchbase.com/organization/snapchat,"Apps, Messaging, Mobile, Photography","Venice, California, United States","Snap, formerly Snapchat Inc, is a camera company that develops Snapchat and Spectacles.",13,IPO,4898985000,USD,4898985000,239,$100M to $500M,Active,2011-05-01,day,2017-03-02,day,For Profit,https://www.snap.com,1001-5000,3,"Apps, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Software","Alibaba Group, General Catalyst, General Atlantic, Kleiner Perkins, Tencent Holdings",9,34,17,Made Acquisitions,Public,31
"Founded by Mark Levine and Michael Dubin in July 2011, DollarShaveClub.com is a leading provider of quality razors to its members. Dollar Shave Club is a monthly membership service that delivers fresh, stainless steel razor blades and other personal grooming products to customers by mail. Home delivery, rather than purchasing through conventional retail stores is an added convenience for customers. Dollar Shave Club is dedicated to providing their customers a high-quality product while saving money. Available razor subscriptions include: * The Humble Twin: a standard two-blade razor ($1/month, plus s+h) * The 4x: a four-blade razor perfect for men’s or women’s hair removal needs ($6/month, shipping included) * The Executive: a state-of-the-art six-blade razor ($9/month, shipping included) In 2012, Dollar Shave Club launched the campaign video “Our Blades Are F***ing Great,” that introduced the company. As the video went viral, orders reached 12,000 in the first two days. Dollar Shave Club’s viral video received an award from Adage, for “Best Out-of-Nowhere Video Campaign,” and a Webby Award for best Fashion & Beauty website. With half a million members, Dollar Shave Club launched two new products in 2013, as part of their goal to help customers make smarter choices in their grooming routine. Dr. Carver’s Easy Shave Butter to accompany the razors and One Wipe Charlies, a disposable butt wipe for men. In 2014, the company expanded their product line to include Dr. Carver’s Magnanimous Post Shave Moisturizer: the ultimate amnesty after the disruptive act of shaving. Involved with several charity organizations and fundraising efforts, Dollar Shave Club has worked with the Colon Cancer Alliance to raise funds for cancer research.",Dollar Shave Club,https://www.crunchbase.com/organization/dollar-shave-club,"E-Commerce, Internet, Retail","Santa Monica, California, United States","Dollar Shave Club makes and delivers everything you need to look, feel, and shave like a million bucks.",7,M&A,163500000,USD,163500000,253,$50M to $100M,Active,2011-01-01,year,2016-07-19,day,For Profit,http://www.dollarshaveclub.com,101-250,2,"Commerce and Shopping, Internet Services","Battery Ventures, Kleiner Perkins, Science, Andreessen Horowitz, Venrock",5,27,,Was Acquired,Private,2
"Alteryx, Inc. was formed in 2011 and is a leader in self-service data science and analytics. Alteryx provides analysts with the unique ability to easily prep, blend and analyze all of their data using a repeatable workflow, then deploy and share analytics at scale for deeper insights in hours, not weeks.  Analysts love the Alteryx Analytics platform because they can connect to and cleanse data from data warehouses, cloud applications, spreadsheets and other sources, easily join this data together, then perform analytics – predictive, statistical and spatial – using the same intuitive user interface, without writing any code.  Alteryx customers range from many of the world’s largest and best known brands, including Experian, Kaiser Permanente, Ford, and McDonald’s, to growing organizations such as Rosenblatt Securities, Veritix, and Consumer Orbit, who all use the power of data for a competitive edge. Alteryx was founded by Dean Stoecker, Alteryx CEO & Chairman; Ned Harding, Alteryx CTO; and Olivia Duane Adams, Alteryx Chief Customer Officer. It is funded by Insight Venture Partners, Iconiq Capital, Meritech Capital, SAP Ventures, Thomson-Reuters, and Toba Capital. Headquartered in Irvine, California, and with offices in Broomfield, Silicon Valley, Dallas, Chicago, Canada, the United Kingdom, Germany, Denmark, and Australia, Singapore, France and Japan.  Alteryx empowers over 3,500 customers worldwide.  Alteryx is a publicly traded company listed on the NYSE with the ticker symbol of AYX You can reach Alteryx from its website or by calling 1-888-836-4274. Alteryx is a registered trademark of Alteryx, Inc.",Alteryx,https://www.crunchbase.com/organization/alteryx,"Analytics, Artificial Intelligence, Business Intelligence, Data Integration, Machine Learning, Predictive Analytics","Irvine, California, United States",Alteryx is a leading provider of an end to end data science & analytics platform for the enterprise,3,IPO,163000000,USD,163000000,261,$100M to $500M,Active,2011-03-01,month,2017-03-24,day,For Profit,http://alteryx.com,501-1000,3,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","Meritech Capital Partners, Insight Partners, Sapphire Ventures, Toba Capital, ICONIQ Capital",4,5,5,Made Acquisitions,Public,20
"ZipRecruiter is a leading online employment marketplace. Powered by AI-driven smart matching technology, ZipRecruiter actively connects millions of all-sized businesses and job seekers through innovative mobile, web, and email services, as well as partnerships with the best job boards on the web. ZipRecruiter has the #1 rated job search app on iOS & Android. Founded in 2010, Santa Monica-based ZipRecruiter has nearly 1000 employees in two states and three countries.",ZipRecruiter,https://www.crunchbase.com/organization/ziprecruiter,"E-Commerce, Employment, Human Resources, Internet, Mobile Apps, Recruiting, SaaS, Software","Santa Monica, California, United States","ZipRecruiter is an online employment marketplace, connecting millions of employers and job seekers through mobile and email services.",2,Early Stage Venture,219000000,USD,219000000,294,$10M to $50M,Active,2010-03-01,day,,,For Profit,http://www.ziprecruiter.com,501-1000,4,"Apps, Commerce and Shopping, Internet Services, Mobile, Professional Services, Software","IVP (Institutional Venture Partners), Industry Ventures, Basepoint Ventures",1,3,1,Made Acquisitions,Private,8
"Space Exploration Technologies Corporation (SpaceX) is a space-transportation startup company founded by Elon Musk. It designs, manufactures, and launches advanced rockets and spacecraft. It is developing the partially reusable launch vehicles Falcon 1 and Falcon 9. Originally based in El Segundo, SpaceX now operates out of Hawthorne, California, USA. SpaceX was founded in June 2002 by Musk who had invested $100 million of his own money in the company as of March 2006. In January 2005, SpaceX bought a 10% stake in Surrey Satellite Technology Ltd. SpaceX had 160 employees in November 2005, and more than 500 by July 2008. The launch crew in the Marshall Islands has 25 people, 6 in mission control. This small number, compared to similar space launch companies, is part of cost reduction. Musk sees other space-launch services' high prices as supporting unnecessary bureaucracy. He's stated that one of his goals is to improve the cost and reliability of access to space by a factor of ten. Elon Musk stated after the failure of the third Falcon 1 flight attempt, ""As a precautionary measure to guard against the possibility of flight 3 not reaching orbit, SpaceX recently accepted a significant investment. Combined with our existing cash reserves, that ensures we will have more than sufficient funding on hand to continue launching Falcon 1 and develop Falcon 9 and Dragon""; on August 4, SpaceX released further details; they had accepted a USD$20 million equity investment from the Founder's Fund. Founded in 2002, the SpaceX team now numbers over 500, located primarily in Hawthorne, California, with four additional locations: SpaceX's Texas Test Facility in McGregor near Waco; offices in Washington DC; and launch facilities at Cape Canaveral, Florida, and the Marshall Islands in the Central Pacific.",SpaceX,https://www.crunchbase.com/organization/space-exploration-technologies,"Aerospace, Space Travel, Transportation","Hawthorne, California, United States","SpaceX is an aviation and aerospace company that designs, manufactures, and launches advanced rockets and spacecraft.",25,,3198403166,USD,3198403166,307,$1B to $10B,Active,2002-06-01,month,,,For Profit,https://www.spacex.com/,1001-5000,1,"Science and Engineering, Transportation","Google, Founders Fund, Bank of America, Craft Ventures, Manhattan Venture Partners",8,27,,,Private,9
"The Honest Company creates eco-friendly, convenient, and affordable products for babies and homes. The growing product line is comprised of eco-friendly diapers and a natural line of bath, skincare, home cleaning, and organic nutritional supplement products  all packed in convenient bundles that can be customized, personalized, and conveniently shipped whenever needed.",The Honest Company,https://www.crunchbase.com/organization/the-honest-company,"Consumer Goods, Dietary Supplements, E-Commerce, Lifestyle","Santa Monica, California, United States","The Honest Company creates eco-friendly, convenient, and affordable products for babies and homes.",7,Private Equity,503000000,USD,503000000,406,$100M to $500M,Active,2011-01-01,year,,,For Profit,http://www.honest.com,251-500,4,"Commerce and Shopping, Community and Lifestyle, Consumer Goods, Food and Beverage, Health Care","General Catalyst, EquityZen, Lightspeed Venture Partners, L Catterton, IVP (Institutional Venture Partners)",7,13,,,Private,2
"Acorns Support is a micro investing app in the U.S. Its easy-to-use, mobile-first technology makes it simple for anyone to set aside and invest life's spare money. Acorns allows customers to automatically invest in a low-cost, diversified portfolio of exchange-traded funds offered by some of the world's top asset managers (including Vanguard and BlackRock). Customers grow their wealth in one of five portfolios constructed with help from world-renowned Nobel Laureate economist Dr. Harry Markowitz. Acorns smart portfolio algorithms automatically work in the background of life, helping users build wealth naturally, pennies at a time.",Acorns,https://www.crunchbase.com/organization/acorns-grow,"Apps, Finance, Financial Services, FinTech, Mobile, Wealth Management","Irvine, California, United States",Acorns is a finance company that allows individuals to round up purchases and automatically invest the change.,12,,206960000,USD,206960000,407,$10M to $50M,Active,2012-02-29,day,,,For Profit,https://www.acorns.com,251-500,4,"Apps, Financial Services, Mobile, Software","Bain Capital Ventures, BlackRock, TPG, NBCUniversal, DST Global",9,28,1,Made Acquisitions,Private,1
"Alignment Healthcare is dedicated to transforming the complex and confusing process of medical treatment so that every link in the healthcare continuum becomes more efficient, productive and effective. The company partners with providers, health plans and hospitals to create a seamless, fast and easy-to-navigate healthcare experience, which results in happier, healthier and more satisfied patients. Based in Irvine, California, Alignment Healthcare provides partners with an end-to-end continuous care program, including clinical care coordination, risk management capabilities, and IT enablement",Alignment Healthcare,https://www.crunchbase.com/organization/alignment-healthcare,"Health Care, Hospital, Medical","Orange, California, United States",Alignment Healthcare is dedicated to transforming the complex and confusing process of medical treatment.,3,Late Stage Venture,375000000,USD,375000000,431,$500M to $1B,Active,2013-01-01,year,,,For Profit,http://www.alignmenthealthcare.com/,501-1000,1,Health Care,"General Atlantic, Warburg Pincus, T. Rowe Price, Durable Capital Partners, Fidelity Management and Research Company",2,5,,,Private,1
"Clutter is a tech-enabled storage company that lets you store extra stuff without actually leaving your house. No more getting stuck in traffic just to put away your camping gear, or completely unpacking a storage unit in order to locate a box of family photos. With Clutter, all your stored items are ready to view online, and getting them out of storage is as easy as ordering a pizza. They do all this happily, because they believe a 5-star experience should be the norm, and that service companies should actually be of service to their customers.",Clutter,https://www.crunchbase.com/organization/clutter,"Consumer, Self-Storage, Service Industry","Culver City, California, United States",Clutter is a tech-enabled storage company that lets clients store extra stuff without actually leaving their house.,7,Late Stage Venture,296300000,USD,296300000,447,$10M to $50M,Active,2013-01-01,year,,,For Profit,http://clutter.com,251-500,3,Real Estate,"Sequoia Capital, Atomico, SoftBank Vision Fund, Fifth Wall, GV",6,23,1,Made Acquisitions,Private,1
"Anagram is an insurance billing automation SaaS for doctors and patients. Anagram designs an online insurance and billing automation platform that helps ancillary healthcare providers check eligibility, calculate out-of-pocket costs, submit claims, and facilitate payments all in one location. Its platform assists healthcare professionals with the intricacies of health insurance networks, enabling healthcare professionals to leverage insurance benefits while avoiding the constraints of being in-network, and helping them to continue being or become a cash-pay practice. The company's base is located in Santa Monica, California. Anagram was founded in 2015 by Brett Plotzker, Jeremy Bluvol, and Kam Kudla.",Anagram,https://www.crunchbase.com/organization/anagramcare,"FinTech, Health Care, Insurance, Internet, Software","Santa Monica, California, United States",Anagram is an insurance billing automation SaaS for doctors and patients.,4,Early Stage Venture,14925000,USD,14925000,452,$10M to $50M,Active,2014-09-01,month,,,For Profit,https://anagram.care/,51-100,3,"Financial Services, Health Care, Internet Services, Software","FundersClub, Healthy Ventures, Hack VC, Tom Williams, KEC Ventures",2,14,,,Private,1
"GumGum is an artificial intelligence company focusing on computer vision and natural language processing. The company's mission is to unlock the value of images and videos produced everyday across the web, social media, and broadcast television. It teaches machines to solve hard problems across the media industry. The company serves contextual marketing in line with content users, helps marketers and right holders understand the media value of their sponsorship investments, and introduces the content safety analysis engine that finds what is relevant or what is dangerous. GumGum was founded in 2008 and is headquartered in Santa Monica, California.",GumGum,https://www.crunchbase.com/organization/gumgum,"Advertising, Advertising Platforms, Analytics, Artificial Intelligence, Brand Marketing, Computer Vision, Digital Media, Image Recognition, Natural Language Processing, Sports","Santa Monica, California, United States",GumGum is an artificial intelligence company focusing on computer vision and natural language processing.,6,Late Stage Venture,58825000,USD,58825000,474,$1M to $10M,Active,2008-01-01,year,,,For Profit,https://gumgum.com/,251-500,2,"Advertising, Artificial Intelligence, Data and Analytics, Hardware, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Sports","New Enterprise Associates, First Round Capital, NewView Capital, Upfront Ventures, Morgan Stanley Expansion Capital",5,7,,,Private,13
"Restaurant365 is a smart restaurant management software that combines restaurant modules with an integrated accounting system. Restaurant365 provides a restaurant-specific accounting and back-office software platform that reduces the significant burdens placed on restaurant operators, allowing concepts to operate more efficiently and profitably in a digital world.",Restaurant365,https://www.crunchbase.com/organization/restaurant365,"Accounting, Productivity Tools, Restaurants, Software","Irvine, California, United States",Restaurant365 is a smart restaurant management software that combines restaurant modules with an integrated accounting system.,3,Late Stage Venture,127500000,USD,127500000,493,$10M to $50M,Active,2011-01-01,year,,,,https://www.restaurant365.com/,251-500,3,"Financial Services, Food and Beverage, Professional Services, Software","Tiger Global Management, Bessemer Venture Partners, ICONIQ Capital",2,3,,,Private,
"Cornerstone OnDemand is a leading global provider of a comprehensive learning and talent management solution delivered as Software-as-a-Service (SaaS).  The company enables organizations to meet the challenges they face in empowering their people and maximizing the productivity of their human capital.  Cornerstone currently empowers over 19.1 million users across 191 countries and in 42 languages. Their integrated cloud-based software offering consists of Cornerstone Onboarding, Cornerstone Recruiting, Cornerstone Performance, Cornerstone Learning, Cornerstone Connect, Cornerstone Succession, Cornerstone Compensation and Cornerstone Extended Enterprise. Their clients use their solution to develop employees throughout their careers, engage all employees effectively, improve business execution, cultivate future leaders, and integrate with their external networks of customers, vendors and distributors. The company has more than 2,100 clients, including multi-national corporations, large domestic enterprises, mid-market companies, state and local public sector organizations, higher education institutions and non-profit entities.  Clients include BJC HealthCare, Flextronics, Kelly Services, Pearson, Starwood Hotels & Resorts Worldwide, Teach for America and Virgin Media Limited, among many others.  Cornerstone supports multiple client deployments of more than 150,000 users, including one client with more than 700,000 users.     Cornerstone is headquartered in Santa Monica, California, with offices in Auckland, Hong Kong, London, Mumbai, Munich, Madrid, Paris, Rome, Sydney and Tel Aviv.",Cornerstone OnDemand,https://www.crunchbase.com/organization/cornerstone-ondemand,"E-Learning, Enterprise Software, SaaS, Social Network, Software","Santa Monica, California, United States",Cornerstone OnDemand provides cloud-based talent management software solutions.,4,IPO,344700000,USD,344700000,515,$500M to $1B,Active,1999-11-01,day,2011-03-17,day,For Profit,http://www.cornerstoneondemand.com,1001-5000,4,"Education, Internet Services, Software","Silver Lake Partners, Meritech Capital Partners, Bessemer Venture Partners, LinkedIn, ff Venture Capital",3,6,6,Made Acquisitions,Public,15
"Relativity is disrupting 60 years of aerospace manufacturing by creating an entirely new process to build and fly rockets. Led by co-founders Tim Ellis and Jordan Noone, the company has created the world’s largest metal 3D printer to 3D print their own rockets and launch satellites into space. Relativity’s process cuts rocket part count by 100x and enables rockets to be built in days instead of years. Relativity’s long term goal is to 3D print the first rocket made on Mars and scale and sustain an interplanetary society. Based in Los Angeles, CA, Relativity is privately funded by Bond, Tribe Capital, Playground Global, Social Capital, Y Combinator, and Mark Cuban.",Relativity Space,https://www.crunchbase.com/organization/relativity-space,"3D Technology, Aerospace, Manufacturing, Space Travel","Inglewood, California, United States","Relativity is a company that is automating aerospace manufacturing through robotics, software, and proprietary metal 3D printing technology.",4,Late Stage Venture,185720000,USD,185720000,527,$1M to $10M,Active,2016-01-01,year,,,For Profit,http://relativityspace.com,101-250,2,"Hardware, Manufacturing, Science and Engineering, Software, Transportation","Y Combinator, Playground Global, Mark Cuban, Tribe Capital, Social Capital",6,20,,,Private,1
"Designed to help consumers save time and money, Honey’s 10 million users worldwide, shop over 30,000 retailers knowing that Honey is finding the best deals and coupons for their everyday needs. The free browser extension automatically finds and applies coupons at checkout, it also helps users save money on Amazon by showing price history, best price detection and a product called Droplist that watches select products and sends notifications when it drops below a selected price.",Honey,https://www.crunchbase.com/organization/honey-science,"Coupons, E-Commerce, Retail, Shopping","Los Angeles, California, United States",Honey helps people make smarter choices when they shop online.,4,M&A,31800000,USD,31800000,566,$10M to $50M,Active,2012-10-01,day,2019-11-20,day,For Profit,https://www.joinhoney.com,251-500,2,Commerce and Shopping,"Plug and Play, Ludlow Ventures, Mucker Capital, Anthos Capital, BAM Ventures",2,12,,Was Acquired,Private,2
