"","id","Organization.Name","Organization.Name.URL","Industries","Headquarters.Location","Description","CB.Rank..Company.","Estimated.Revenue.Range","Founded.Date","Founded.Date.Precision","Industry.Groups","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Total.Funding.Amount.Currency","Total.Funding.Amount.Currency..in.USD.","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Amount.Currency","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks","Investment.Stage","Y"
"34",34,"Alignment Healthcare","https://www.crunchbase.com/organization/alignment-healthcare","Health Care, Hospital, Medical","Orange, California, United States","Alignment Healthcare is dedicated to transforming the complex and confusing process of medical treatment.",646,"$500M to $1B","2013-01-01","year","Health Care","1","501-1000","3","3.75e+08","USD","3.75e+08","5","Private","NA","NA","1","2","Late Stage Venture","2020-03-04","1.35e+08","USD","135000000","Series C","0","5","NA",1
"35",35,"ICM Partners","https://www.crunchbase.com/organization/icm-partners","eSports, Film, Music, Publishing, TV","Los Angeles, California, United States","ICM Partners is one of the world’s largest talent and literary agencies, with offices in Los Angeles, New York, Washington, D.C.",658,"$10M to $50M","1975-01-01","year","Content and Publishing, Media and Entertainment, Music and Audio, Sports, Video","NA","251-500","1","1.5e+08","USD","1.5e+08","1","Private","NA","Made Acquisitions","1","1","Private Equity","2019-12-16","1.5e+08","USD","150000000","Private Equity","NA","NA","NA",1
"36",36,"Wag","https://www.crunchbase.com/organization/wag","Apps, Crowdsourcing, Pet","Los Angeles, California, United States","Wag is a mobile application used to instantly find trusted and certified dog walkers.",690,"$100M to $500M","2014-10-01","day","Apps, Community and Lifestyle, Software","4","51-100","8","361450000","USD","361450000","19","Private","NA","NA","NA","6","NA","2018-08-29","NA","NA","NA","Secondary Market","0","8","NA",1
"37",37,"BlackLine","https://www.crunchbase.com/organization/blackline","Enterprise Software, SaaS, Software, Task Management","Woodland Hills, California, United States","BlackLine offers scalable applications that automate the financial close and other accounting processes.",837,"$50M to $100M","2001-01-01","year","Software","1","501-1000","1","2.2e+08","USD","2.2e+08","3","Public","2016-10-27","Made Acquisitions","12","NA","IPO","2013-08-16","2.2e+08","USD","220000000","Private Equity","1","19","NA",1
"38",38,"SHIFT","https://www.crunchbase.com/organization/shift","Advertising, Advertising Platforms, Apps, Real Time, Social Media","Santa Monica, California, United States","SHIFT is a leading cross-network social advertising platform for brands and agencies.",854,"NA","2010-01-01","year","Advertising, Apps, Internet Services, Media and Entertainment, Sales and Marketing, Software","2","51-100","5","1.4e+07","USD","1.4e+07","26","Private","NA","Was Acquired","NA","5","M&A","2013-12-10","6e+06","USD","6000000","Series B","6","3","NA",1
"39",39,"Albert","https://www.crunchbase.com/organization/albert-3","Finance, Financial Services, Internet, Mobile, Software","Los Angeles, California, United States","Albert manages your money with automated software and human financial guidance.",856,"$1M to $10M","2015-11-01","day","Financial Services, Internet Services, Mobile, Software","2","51-100","6","72875000","USD","72875000","13","Private","NA","NA","1","5","Early Stage Venture","2019-12-06","5e+07","USD","50000000","Series B","0","2","NA",1
"40",40,"CBRE Group","https://www.crunchbase.com/organization/cbre-group","Consulting, Industrial, Intellectual Property, Project Management, Real Estate","Los Angeles, California, United States","CBRE Group, Inc. is a holding company that conducts all of its operations through its indirect subsidiaries",862,"$1B to $10B","1906-08-27","day","Professional Services, Real Estate","NA","10001+","2","4.5e+08","USD","4.5e+08","1","Public","2004-06-11","Made Acquisitions","55","1","IPO","2019-11-18","3e+08","USD","300000000","Post-IPO Debt","1","73","Early Stage Venture",1
"41",41,"OPSkins","https://www.crunchbase.com/organization/opskins","E-Commerce, Gaming, Internet","Santa Monica, California, United States","OPSkins Marketplace is an online trading platform, where gamers around the world buy and sell digital items using real-life money.",875,"$1M to $10M","2015-01-01","year","Commerce and Shopping, Gaming, Internet Services","3","11-50","1","4.1e+07","USD","4.1e+07","NA","Private","NA","NA","NA","NA","NA","2017-11-13","4.1e+07","USD","41000000","Initial Coin Offering","NA","NA","NA",1
"42",42,"CloudKitchens","https://www.crunchbase.com/organization/cloudkitchens","Delivery Service, Real Estate, Restaurants, Software","Los Angeles, California, United States","CloudKitchens is a real estate company that provides smart kitchens for delivery-only restaurants.",881,"NA","2016-01-01","year","Food and Beverage, Real Estate, Software, Transportation","1","1-10","1","4e+08","USD","4e+08","1","Private","NA","Made Acquisitions","NA","1","NA","2019-11-07","4e+08","USD","400000000","Venture - Series Unknown","NA","NA","NA",1
"43",43,"Criteria","https://www.crunchbase.com/organization/criteria-corp","Education, SaaS, Software","West Hollywood, California, United States","Criteria is a provider of pre-employment tests, including aptitude, personality, and skills tests.",926,"NA","2006-07-01","day","Education, Software","2","51-100","2","64250000","USD","64250000","2","Private","NA","Made Acquisitions","NA","2","Private Equity","2019-05-17","5.6e+07","USD","56000000","Private Equity","1","4","NA",1
"44",44,"GumGum","https://www.crunchbase.com/organization/gumgum","Advertising, Advertising Platforms, Analytics, Artificial Intelligence, Brand Marketing, Computer Vision, Digital Media, Image Recognition, Natural Language Processing, Sports","Santa Monica, California, United States","GumGum is an artificial intelligence company focusing on computer vision and natural language processing.",949,"$1M to $10M","2008-01-01","year","Advertising, Artificial Intelligence, Data and Analytics, Hardware, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Sports","2","251-500","6","58825000","USD","58825000","7","Private","NA","NA","13","5","Late Stage Venture","2020-02-13","2.2e+07","USD","22000000","Series D","18","8","NA",1
"45",45,"Masimo","https://www.crunchbase.com/organization/masimo","Biotechnology, Health Care, Manufacturing, Medical Device","Irvine, California, United States","Masimo Corporation, a medical technology company, develops, manufactures, and markets noninvasive patient monitoring products.",956,"$100M to $500M","1989-01-01","year","Biotechnology, Health Care, Manufacturing, Science and Engineering","1","1001-5000","3","4950000","USD","4950000","3","Public","2007-08-08","Made Acquisitions","NA","2","IPO","2017-08-26","NA","NA","NA","Post-IPO Equity","443","220","NA",1
"46",46,"Flowspace","https://www.crunchbase.com/organization/flowspace","Logistics, Supply Chain Management, Warehousing","Los Angeles, California, United States","Flowspace is the Largest On-Demand Warehousing and Fulfillment Network",959,"Less than $1M","2017-01-01","year","Transportation","2","51-100","4","15520000","USD","15520000","6","Private","NA","NA","1","2","Early Stage Venture","2019-04-16","1.2e+07","USD","12000000","Series A","0","1","NA",1
"47",47,"The Trade Desk","https://www.crunchbase.com/organization/the-trade-desk","Digital Media, Internet, Social, Video Advertising","Ventura, California, United States","The Trade Desk is an online demand-side platform that provides buying tools for digital media buyers.",974,"$100M to $500M","2009-10-01","day","Advertising, Internet Services, Media and Entertainment, Sales and Marketing","2","501-1000","7","257500000","USD","257500000","18","Public","2016-09-21","Made Acquisitions","18","5","IPO","2016-05-09","1.25e+08","USD","125000000","Debt Financing","1","17","NA",1
"48",48,"Musical.ly","https://www.crunchbase.com/organization/musical-ly","Internet, Music, Video","Santa Monica, California, United States","Musical.ly is a video social network for creating, sharing, and discovering short videos.",981,"NA","2014-01-01","year","Internet Services, Media and Entertainment, Music and Audio, Video","2","101-250","5","150350000","USD","150350000","14","Private","NA","Was Acquired","2","4","M&A","2016-05-13","133500000","USD","133500000","Series C","4","1","NA",1
"49",49,"StackCommerce","https://www.crunchbase.com/organization/stackcommerce","Apps, E-Commerce, E-Commerce Platforms, Software","Venice, California, United States","StackCommerce is a native commerce platform with turnkey solutions that increases user engagement, growth, and monetization.",1019,"NA","2011-01-01","year","Apps, Commerce and Shopping, Internet Services, Software","1","51-100","2","8e+05","USD","8e+05","7","Private","NA","Made Acquisitions","1","1","Seed","2012-07-24","8e+05","USD","800000","Seed","1","9","NA",1
"50",50,"Honey","https://www.crunchbase.com/organization/honey-science","Coupons, E-Commerce, Retail, Shopping","Los Angeles, California, United States","Honey helps people make smarter choices when they shop online.",1046,"$10M to $50M","2012-10-01","day","Commerce and Shopping","2","251-500","4","31800000","USD","31800000","12","Private","NA","Was Acquired","2","2","M&A","2017-10-24","2.6e+07","USD","26000000","Series B","3","25","NA",1
"51",51,"BSAMPLY","https://www.crunchbase.com/organization/bsamply","B2B, Data Integration, E-Commerce, Fashion, Operating Systems, SaaS, Sales Automation, Software, Textiles","Los Angeles, California, United States","BSAMPLY is a B2B Sales Platform designed to make sales processes easier and faster. From research to purchase.",1083,"NA","2017-08-31","day","Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Information Technology, Manufacturing, Platforms, Sales and Marketing, Software","2","11-50","3","1120000","USD","1120000","4","Private","NA","NA","NA","1","Seed","2020-03-20","1e+05","USD","100000","Seed","0","3","NA",1
"52",52,"Talespin","https://www.crunchbase.com/organization/talespin-company","Artificial Intelligence, Augmented Reality, Corporate Training, Enterprise Software, Software, Training, Virtual Reality","Culver City, California, United States","Talespin creates enterprise XR (virtual, augmented, and mixed reality) workforce transformation solutions.",1126,"$1M to $10M","2015-01-01","year","Artificial Intelligence, Data and Analytics, Education, Hardware, Science and Engineering, Software","2","51-100","3","20595000","USD","20595000","3","Private","NA","Made Acquisitions","1","1","Early Stage Venture","2020-03-03","1.5e+07","USD","15000000","Series B","0","1","NA",1
"53",53,"ServiceTitan","https://www.crunchbase.com/organization/servicetitan","CRM, Home Services, Information Technology, Real Estate, SaaS, Software","Glendale, California, United States","ServiceTitan is the service management software that helps leading home services businesses generate more leads and close more sales.",1137,"$50M to $100M","2013-01-01","year","Information Technology, Real Estate, Sales and Marketing, Software","2","501-1000","5","325955000","USD","325955000","9","Private","NA","Made Acquisitions","1","4","Late Stage Venture","2018-11-14","1.65e+08","USD","165000000","Series D","0","9","NA",1
"54",54,"Rockley Photonics","https://www.crunchbase.com/organization/rockley-photonics","Electronics, Information Technology, Semiconductor","Pasadena, California, United States","Rockley Photonics manufactures photonics chips and custom integrated packaged products.",1163,"$10M to $50M","2013-01-01","year","Consumer Electronics, Hardware, Information Technology, Science and Engineering","1","101-250","4","9.2e+07","USD","9.2e+07","5","Private","NA","NA","1","4","NA","2020-03-12","NA","NA","NA","Venture - Series Unknown","NA","NA","NA",1
"55",55,"Soylent","https://www.crunchbase.com/organization/soylent-corporation","E-Commerce, Food and Beverage, Food Processing, Health Care, Nutrition","Los Angeles, California, United States","Soylent is a food supplement that can be personalized for different body types and customized based on the individual's taste.",1233,"$10M to $50M","2012-01-01","year","Commerce and Shopping, Food and Beverage, Health Care","4","11-50","5","72420000","USD","72420000","9","Private","NA","NA","2","2","Early Stage Venture","2017-05-04","5e+07","USD","50000000","Series B","0","19","NA",1
"56",56,"REX","https://www.crunchbase.com/organization/rex-real-estate-exchange","Commercial Real Estate, Real Estate, Real Estate Investment","Woodland Hills, California, United States","REX is a digital platform and real estate service where homeowners can list, discover, and purchase homes outside the MLS.",1268,"$1M to $10M","2014-09-01","month","Financial Services, Real Estate","3","51-100","5","110500000","USD","110500000","6","Private","NA","NA","NA","NA","Late Stage Venture","2019-11-20","4e+07","USD","40000000","Series C","0","9","NA",1
"57",57,"Pluto TV","https://www.crunchbase.com/organization/pluto-tv","Apps, Internet, Media and Entertainment, Video, Video Streaming","Los Angeles, California, United States","Pluto TV is the leading free streaming television service in America.",1270,"$100M to $500M","2013-01-01","year","Apps, Content and Publishing, Internet Services, Media and Entertainment, Software, Video","2","101-250","6","51800000","USD","51800000","17","Private","NA","Made Acquisitions, Was Acquired","NA","4","M&A","2017-10-17","8300000","USD","8300000","Venture - Series Unknown","12","3","NA",1
"58",58,"Cooking.com","https://www.crunchbase.com/organization/cooking-com","Cooking, E-Commerce, Internet","Marina Del Rey, California, United States","Cooking.com is an online store for kitchen products and offers a collection of recipes and community features.",1330,"NA","1998-03-01","day","Commerce and Shopping, Food and Beverage, Internet Services","1","101-250","7","107500000","USD","107500000","16","Private","NA","Was Acquired","NA","5","M&A","2011-12-06","13500000","USD","13500000","Venture - Series Unknown","NA","NA","NA",1
