Y,id,Organization.Name,Industries,Headquarters.Location,Description,CB.Rank..Company.,Estimated.Revenue.Range,Founded.Date,Founded.Date.Precision,Industry.Groups,Number.of.Founders,Number.of.Employees,Number.of.Funding.Rounds,Total.Funding.Amount,Number.of.Investors,IPO.Status,IPO.Date,Acquisition.Status,Number.of.Events,Number.of.Lead.Investors,Funding.Status,Last.Funding.Date,Last.Funding.Amount.Currency..in.USD.,Last.Funding.Type,IPqwery...Total.Patents,IPqwery...Total.Trademarks,Investment.Stage
1,11,Beats Electronics,"Consumer Electronics, Hardware, Media and Entertainment, Music, Software","Santa Monica, California, United States","Beats Electronics offers premium consumer headphones, earphones and speakers, software technology and streaming music subscription services.",117,$1B to $10B,1/1/2006,year,"Consumer Electronics, Hardware, Media and Entertainment, Music and Audio, Software",2,501-1000,2,800000000,2,Private,NA,"Made Acquisitions, Was Acquired",NA,2,M&A,9/27/2013,500000000,Private Equity,1,182,NA
1,12,Rocket Lab,"Aerospace, Electronics, Industrial Manufacturing","Huntington Beach, California, United States",Rocket Lab delivers a range of complete rocket systems and technologies for fast and low-cost payload deployment.,140,$10M to $50M,1/1/2006,year,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering",1,251-500,4,215000000,10,Private,NA,Made Acquisitions,1,4,Late Stage Venture,11/15/2018,140000000,Series E,6,14,NA
1,13,Scopely,"Developer Platform, Digital Entertainment, Mobile, Mobile Apps, Online Games, Video Games","Culver City, California, United States",Scopely is an interactive entertainment and mobile games company.,158,$100M to $500M,1/1/2011,year,"Apps, Gaming, Media and Entertainment, Mobile, Software",4,501-1000,11,658700000,64,Private,NA,Made Acquisitions,NA,9,Late Stage Venture,3/19/2020,200000000,Series D,0,8,NA
1,14,ZipRecruiter,"E-Commerce, Employment, Human Resources, Internet, Mobile Apps, Recruiting, SaaS, Software","Santa Monica, California, United States","ZipRecruiter is an online employment marketplace, connecting millions of employers and job seekers through mobile and email services.",160,$10M to $50M,3/1/2010,day,"Apps, Commerce and Shopping, Internet Services, Mobile, Professional Services, Software",4,501-1000,2,219000000,3,Private,NA,Made Acquisitions,8,1,Early Stage Venture,10/4/2018,156000000,Series B,0,36,NA
1,15,Tinder,"Dating, Mobile, Search Engine, Social Media","West Hollywood, California, United States",Tinder anonymously finds people nearby that like each other and connects them if they are both interested.,192,$500M to $1B,9/1/2012,day,"Community and Lifestyle, Internet Services, Media and Entertainment, Mobile",5,51-100,2,50000000,2,Private,NA,Made Acquisitions,6,2,NA,10/28/2014,NA,Venture - Series Unknown,0,5,NA
1,16,Dollar Shave Club,"E-Commerce, Internet, Retail","Santa Monica, California, United States","Dollar Shave Club makes and delivers everything you need to look, feel, and shave like a million bucks.",200,$50M to $100M,1/1/2011,year,"Commerce and Shopping, Internet Services",2,101-250,7,163500000,27,Private,NA,Was Acquired,2,5,M&A,11/19/2015,90700000,Series D,13,56,NA
1,17,SnapChat,"Apps, Messaging, Mobile, Photography","Venice, California, United States","Snap, formerly Snapchat Inc, is a camera company that develops Snapchat and Spectacles.",272,$100M to $500M,5/1/2011,day,"Apps, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Software",3,1001-5000,13,4898985000,34,Public,2017-03-02,Made Acquisitions,31,9,IPO,8/7/2018,250000000,Post-IPO Equity,563,178,NA
1,18,Grindr,"Apps, iOS, LGBT, Location Based Services, Social Media, Social Network","West Hollywood, California, United States","Grindr is a location-based social application for gay, bi, trans, queer people and other members of the LGBT community.",276,$10M to $50M,2/3/2008,day,"Apps, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Navigation and Mapping, Platforms, Software",2,51-100,1,93000000,NA,Private,NA,Was Acquired,4,NA,M&A,1/11/2016,93000000,Private Equity,5,13,NA
1,19,Alteryx,"Analytics, Artificial Intelligence, Business Intelligence, Data Integration, Machine Learning, Predictive Analytics","Irvine, California, United States",Alteryx is a leading provider of an end to end data science & analytics platform for the enterprise,300,$100M to $500M,3/1/2011,month,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",3,501-1000,3,163000000,5,Public,2017-03-24,Made Acquisitions,20,4,IPO,10/28/2015,85000000,Series C,8,44,NA
1,20,Fair,"Automotive, Internet, Leasing","Santa Monica, California, United States",Fair is a car leasing company that is revolutionizing the car-as-a-service concept.,372,$100M to $500M,1/1/2016,year,"Financial Services, Internet Services, Transportation",6,101-250,10,2101000000,35,Private,NA,Made Acquisitions,NA,9,Early Stage Venture,9/17/2019,500000000,Debt Financing,9,11,NA
1,21,MedMen,"Asset Management, Cannabis, Finance, Service Industry","Culver City, California, United States","MedMen owns and operates licensed cannabis facilities in cultivation, manufacturing, and retail.",386,$10M to $50M,1/1/2010,year,"Community and Lifestyle, Financial Services, Food and Beverage, Health Care",3,501-1000,5,363000000,4,Public,2018-05-29,NA,1,4,IPO,12/11/2019,27000000,Post-IPO Equity,2,13,NA
1,22,SpaceX,"Aerospace, Space Travel, Transportation","Hawthorne, California, United States","SpaceX is an aviation and aerospace company that designs, manufactures, and launches advanced rockets and spacecraft.",398,$1B to $10B,6/1/2002,month,"Science and Engineering, Transportation",1,1001-5000,25,3198403166,27,Private,NA,NA,9,8,NA,10/3/2019,3000000,Grant,9,23,NA
1,23,Restaurant365,"Accounting, Productivity Tools, Restaurants, Software","Irvine, California, United States",Restaurant365 is a smart restaurant management software that combines restaurant modules with an integrated accounting system.,436,$10M to $50M,1/1/2011,year,"Financial Services, Food and Beverage, Professional Services, Software",3,251-500,3,127500000,3,Private,NA,NA,NA,2,Late Stage Venture,6/27/2019,88000000,Series C,NA,NA,NA
1,24,BigRentz,"Construction, Internet, Rental","Irvine, California, United States","BigRentz is the largest online construction equipment rental marketplace with over 2,500 partners with 8,500 rental yards",489,$10M to $50M,3/1/2012,day,"Commerce and Shopping, Internet Services, Real Estate",3,51-100,4,30250000,3,Private,NA,NA,NA,2,Early Stage Venture,4/1/2020,15000000,Series B,NA,NA,NA
1,25,Clutter,"Consumer, Self-Storage, Service Industry","Culver City, California, United States",Clutter is a tech-enabled storage company that lets clients store extra stuff without actually leaving their house.,495,$10M to $50M,1/1/2013,year,Real Estate,3,251-500,7,296300000,23,Private,NA,Made Acquisitions,1,6,Late Stage Venture,2/20/2019,200000000,Series D,0,9,NA
1,26,VideoAmp,"Advertising, Advertising Platforms, Digital Media, Software","Santa Monica, California, United States",VideoAmp is a software and data solutions company that focuses on optimizing cross-platform advertising.,532,$1M to $10M,6/1/2014,day,"Advertising, Media and Entertainment, Sales and Marketing, Software",2,101-250,4,106600000,16,Private,NA,Made Acquisitions,2,3,Late Stage Venture,5/1/2019,70000000,Series C,0,4,NA
1,27,Cornerstone OnDemand,"E-Learning, Enterprise Software, SaaS, Social Network, Software","Santa Monica, California, United States",Cornerstone OnDemand provides cloud-based talent management software solutions.,534,$500M to $1B,11/1/1999,day,"Education, Internet Services, Software",4,1001-5000,4,344700000,6,Public,2011-03-17,Made Acquisitions,15,3,IPO,11/8/2017,300000000,Post-IPO Equity,2,32,NA
1,28,The Honest Company,"Consumer Goods, Dietary Supplements, E-Commerce, Lifestyle","Santa Monica, California, United States","The Honest Company creates eco-friendly, convenient, and affordable products for babies and homes.",540,$100M to $500M,1/1/2011,year,"Commerce and Shopping, Community and Lifestyle, Consumer Goods, Food and Beverage, Health Care",4,251-500,7,503000000,13,Private,NA,NA,2,7,Private Equity,6/7/2018,200000000,Private Equity,6,145,NA
1,29,Zwift,"Content, Cycling, Fitness, Internet, Video Games","Long Beach, California, United States","Zwift develops a massive, multiplayer video game technology that caters to the cycling, running, and fitness communities.",565,$10M to $50M,1/1/2014,year,"Gaming, Internet Services, Media and Entertainment, Sports",4,101-250,8,164500000,10,Private,NA,NA,NA,3,Early Stage Venture,4/10/2019,NA,Secondary Market,2,29,NA
1,30,Relativity Space,"3D Technology, Aerospace, Manufacturing, Space Travel","Inglewood, California, United States","Relativity is a company that is automating aerospace manufacturing through robotics, software, and proprietary metal 3D printing technology.",575,$1M to $10M,1/1/2016,year,"Hardware, Manufacturing, Science and Engineering, Software, Transportation",2,101-250,4,185720000,20,Private,NA,NA,1,6,Late Stage Venture,10/1/2019,140000000,Series C,2,9,NA
1,31,Cloud Imperium,"Computer, Crowdfunding, Gaming, MMO Games, Online Games, PC Games, Video Games","West Hollywood, California, United States",Cloud Imperium aims to pave new ground in game development by sharing the process with the players.,577,NA,1/1/2012,year,"Consumer Electronics, Financial Services, Gaming, Hardware",3,501-1000,3,180916000,5,Private,NA,NA,NA,2,NA,3/27/2020,17250000,Venture - Series Unknown,0,16,NA
1,32,Acorns,"Apps, Finance, Financial Services, FinTech, Mobile, Wealth Management","Irvine, California, United States",Acorns is a finance company that allows individuals to round up purchases and automatically invest the change.,578,$10M to $50M,2/29/2012,day,"Apps, Financial Services, Mobile, Software",4,251-500,12,206960000,28,Private,NA,Made Acquisitions,1,9,NA,12/1/2019,NA,Venture - Series Unknown,11,38,NA
1,33,CreatorIQ,"Advertising Platforms, Brand Marketing, SaaS, Social Media, Social Media Marketing","Culver City, California, United States",CreatorIQ's Enterprise Creator Cloud is the system of record for global companies to manage & optimize influencer-driven campaigns at scale.,605,$10M to $50M,1/1/2014,year,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software",1,101-250,3,15500000,5,Private,NA,NA,NA,1,Early Stage Venture,6/12/2019,12000000,Series B,0,3,NA
1,34,Alignment Healthcare,"Health Care, Hospital, Medical","Orange, California, United States",Alignment Healthcare is dedicated to transforming the complex and confusing process of medical treatment.,646,$500M to $1B,1/1/2013,year,Health Care,1,501-1000,3,375000000,5,Private,NA,NA,1,2,Late Stage Venture,3/4/2020,135000000,Series C,0,5,NA
1,35,ICM Partners,"eSports, Film, Music, Publishing, TV","Los Angeles, California, United States","ICM Partners is one of the world’s largest talent and literary agencies, with offices in Los Angeles, New York, Washington, D.C.",658,$10M to $50M,1/1/1975,year,"Content and Publishing, Media and Entertainment, Music and Audio, Sports, Video",NA,251-500,1,150000000,1,Private,NA,Made Acquisitions,1,1,Private Equity,12/16/2019,150000000,Private Equity,NA,NA,NA
1,36,Wag,"Apps, Crowdsourcing, Pet","Los Angeles, California, United States",Wag is a mobile application used to instantly find trusted and certified dog walkers.,690,$100M to $500M,10/1/2014,day,"Apps, Community and Lifestyle, Software",4,51-100,8,361450000,19,Private,NA,NA,NA,6,NA,8/29/2018,NA,Secondary Market,0,8,NA
1,37,BlackLine,"Enterprise Software, SaaS, Software, Task Management","Woodland Hills, California, United States",BlackLine offers scalable applications that automate the financial close and other accounting processes.,837,$50M to $100M,1/1/2001,year,Software,1,501-1000,1,220000000,3,Public,2016-10-27,Made Acquisitions,12,NA,IPO,8/16/2013,220000000,Private Equity,1,19,NA
1,38,SHIFT,"Advertising, Advertising Platforms, Apps, Real Time, Social Media","Santa Monica, California, United States",SHIFT is a leading cross-network social advertising platform for brands and agencies.,854,NA,1/1/2010,year,"Advertising, Apps, Internet Services, Media and Entertainment, Sales and Marketing, Software",2,51-100,5,14000000,26,Private,NA,Was Acquired,NA,5,M&A,12/10/2013,6000000,Series B,6,3,NA
1,39,Albert,"Finance, Financial Services, Internet, Mobile, Software","Los Angeles, California, United States",Albert manages your money with automated software and human financial guidance.,856,$1M to $10M,11/1/2015,day,"Financial Services, Internet Services, Mobile, Software",2,51-100,6,72875000,13,Private,NA,NA,1,5,Early Stage Venture,12/6/2019,50000000,Series B,0,2,NA
1,40,CBRE Group,"Consulting, Industrial, Intellectual Property, Project Management, Real Estate","Los Angeles, California, United States","CBRE Group, Inc. is a holding company that conducts all of its operations through its indirect subsidiaries",862,$1B to $10B,8/27/1906,day,"Professional Services, Real Estate",NA,10001+,2,450000000,1,Public,2004-06-11,Made Acquisitions,55,1,IPO,11/18/2019,300000000,Post-IPO Debt,1,73,Early Stage Venture
1,41,OPSkins,"E-Commerce, Gaming, Internet","Santa Monica, California, United States","OPSkins Marketplace is an online trading platform, where gamers around the world buy and sell digital items using real-life money.",875,$1M to $10M,1/1/2015,year,"Commerce and Shopping, Gaming, Internet Services",3,11-50,1,41000000,NA,Private,NA,NA,NA,NA,NA,11/13/2017,41000000,Initial Coin Offering,NA,NA,NA
1,42,CloudKitchens,"Delivery Service, Real Estate, Restaurants, Software","Los Angeles, California, United States",CloudKitchens is a real estate company that provides smart kitchens for delivery-only restaurants.,881,NA,1/1/2016,year,"Food and Beverage, Real Estate, Software, Transportation",1,1-10,1,400000000,1,Private,NA,Made Acquisitions,NA,1,NA,11/7/2019,400000000,Venture - Series Unknown,NA,NA,NA
1,43,Criteria,"Education, SaaS, Software","West Hollywood, California, United States","Criteria is a provider of pre-employment tests, including aptitude, personality, and skills tests.",926,NA,7/1/2006,day,"Education, Software",2,51-100,2,64250000,2,Private,NA,Made Acquisitions,NA,2,Private Equity,5/17/2019,56000000,Private Equity,1,4,NA
1,44,GumGum,"Advertising, Advertising Platforms, Analytics, Artificial Intelligence, Brand Marketing, Computer Vision, Digital Media, Image Recognition, Natural Language Processing, Sports","Santa Monica, California, United States",GumGum is an artificial intelligence company focusing on computer vision and natural language processing.,949,$1M to $10M,1/1/2008,year,"Advertising, Artificial Intelligence, Data and Analytics, Hardware, Media and Entertainment, Sales and Marketing, Science and Engineering, Software, Sports",2,251-500,6,58825000,7,Private,NA,NA,13,5,Late Stage Venture,2/13/2020,22000000,Series D,18,8,NA
1,45,Masimo,"Biotechnology, Health Care, Manufacturing, Medical Device","Irvine, California, United States","Masimo Corporation, a medical technology company, develops, manufactures, and markets noninvasive patient monitoring products.",956,$100M to $500M,1/1/1989,year,"Biotechnology, Health Care, Manufacturing, Science and Engineering",1,1001-5000,3,4950000,3,Public,2007-08-08,Made Acquisitions,NA,2,IPO,8/26/2017,NA,Post-IPO Equity,443,220,NA
1,46,Flowspace,"Logistics, Supply Chain Management, Warehousing","Los Angeles, California, United States",Flowspace is the Largest On-Demand Warehousing and Fulfillment Network,959,Less than $1M,1/1/2017,year,Transportation,2,51-100,4,15520000,6,Private,NA,NA,1,2,Early Stage Venture,4/16/2019,12000000,Series A,0,1,NA
1,47,The Trade Desk,"Digital Media, Internet, Social, Video Advertising","Ventura, California, United States",The Trade Desk is an online demand-side platform that provides buying tools for digital media buyers.,974,$100M to $500M,10/1/2009,day,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing",2,501-1000,7,257500000,18,Public,2016-09-21,Made Acquisitions,18,5,IPO,5/9/2016,125000000,Debt Financing,1,17,NA
1,48,Musical.ly,"Internet, Music, Video","Santa Monica, California, United States","Musical.ly is a video social network for creating, sharing, and discovering short videos.",981,NA,1/1/2014,year,"Internet Services, Media and Entertainment, Music and Audio, Video",2,101-250,5,150350000,14,Private,NA,Was Acquired,2,4,M&A,5/13/2016,133500000,Series C,4,1,NA
1,49,StackCommerce,"Apps, E-Commerce, E-Commerce Platforms, Software","Venice, California, United States","StackCommerce is a native commerce platform with turnkey solutions that increases user engagement, growth, and monetization.",1019,NA,1/1/2011,year,"Apps, Commerce and Shopping, Internet Services, Software",1,51-100,2,800000,7,Private,NA,Made Acquisitions,1,1,Seed,7/24/2012,800000,Seed,1,9,NA
1,50,Honey,"Coupons, E-Commerce, Retail, Shopping","Los Angeles, California, United States",Honey helps people make smarter choices when they shop online.,1046,$10M to $50M,10/1/2012,day,Commerce and Shopping,2,251-500,4,31800000,12,Private,NA,Was Acquired,2,2,M&A,10/24/2017,26000000,Series B,3,25,NA
1,51,BSAMPLY,"B2B, Data Integration, E-Commerce, Fashion, Operating Systems, SaaS, Sales Automation, Software, Textiles","Los Angeles, California, United States",BSAMPLY is a B2B Sales Platform designed to make sales processes easier and faster. From research to purchase.,1083,NA,8/31/2017,day,"Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Information Technology, Manufacturing, Platforms, Sales and Marketing, Software",2,11-50,3,1120000,4,Private,NA,NA,NA,1,Seed,3/20/2020,100000,Seed,0,3,NA
1,52,Talespin,"Artificial Intelligence, Augmented Reality, Corporate Training, Enterprise Software, Software, Training, Virtual Reality","Culver City, California, United States","Talespin creates enterprise XR (virtual, augmented, and mixed reality) workforce transformation solutions.",1126,$1M to $10M,1/1/2015,year,"Artificial Intelligence, Data and Analytics, Education, Hardware, Science and Engineering, Software",2,51-100,3,20595000,3,Private,NA,Made Acquisitions,1,1,Early Stage Venture,3/3/2020,15000000,Series B,0,1,NA
1,53,ServiceTitan,"CRM, Home Services, Information Technology, Real Estate, SaaS, Software","Glendale, California, United States",ServiceTitan is the service management software that helps leading home services businesses generate more leads and close more sales.,1137,$50M to $100M,1/1/2013,year,"Information Technology, Real Estate, Sales and Marketing, Software",2,501-1000,5,325955000,9,Private,NA,Made Acquisitions,1,4,Late Stage Venture,11/14/2018,165000000,Series D,0,9,NA
1,54,Rockley Photonics,"Electronics, Information Technology, Semiconductor","Pasadena, California, United States",Rockley Photonics manufactures photonics chips and custom integrated packaged products.,1163,$10M to $50M,1/1/2013,year,"Consumer Electronics, Hardware, Information Technology, Science and Engineering",1,101-250,4,92000000,5,Private,NA,NA,1,4,NA,3/12/2020,NA,Venture - Series Unknown,NA,NA,NA
1,55,Soylent,"E-Commerce, Food and Beverage, Food Processing, Health Care, Nutrition","Los Angeles, California, United States",Soylent is a food supplement that can be personalized for different body types and customized based on the individual's taste.,1233,$10M to $50M,1/1/2012,year,"Commerce and Shopping, Food and Beverage, Health Care",4,11-50,5,72420000,9,Private,NA,NA,2,2,Early Stage Venture,5/4/2017,50000000,Series B,0,19,NA
1,56,REX,"Commercial Real Estate, Real Estate, Real Estate Investment","Woodland Hills, California, United States","REX is a digital platform and real estate service where homeowners can list, discover, and purchase homes outside the MLS.",1268,$1M to $10M,9/1/2014,month,"Financial Services, Real Estate",3,51-100,5,110500000,6,Private,NA,NA,NA,NA,Late Stage Venture,11/20/2019,40000000,Series C,0,9,NA
1,57,Pluto TV,"Apps, Internet, Media and Entertainment, Video, Video Streaming","Los Angeles, California, United States",Pluto TV is the leading free streaming television service in America.,1270,$100M to $500M,1/1/2013,year,"Apps, Content and Publishing, Internet Services, Media and Entertainment, Software, Video",2,101-250,6,51800000,17,Private,NA,"Made Acquisitions, Was Acquired",NA,4,M&A,10/17/2017,8300000,Venture - Series Unknown,12,3,NA
1,58,Cooking.com,"Cooking, E-Commerce, Internet","Marina Del Rey, California, United States",Cooking.com is an online store for kitchen products and offers a collection of recipes and community features.,1330,NA,3/1/1998,day,"Commerce and Shopping, Food and Beverage, Internet Services",1,101-250,7,107500000,16,Private,NA,Was Acquired,NA,5,M&A,12/6/2011,13500000,Venture - Series Unknown,NA,NA,NA
1,59,Boulevard,"Customer Service, E-Commerce, Internet, Management Consulting","West Hollywood, California, United States",The business management platform powering the next generation of premium salons and spas.,1427,$1M to $10M,2/18/2016,day,"Commerce and Shopping, Internet Services, Professional Services",1,51-100,2,11000000,5,Private,NA,NA,NA,2,Early Stage Venture,11/4/2019,11000000,Series A,0,1,NA
1,60,Penske Media Corporation,"Advertising, Broadcasting, Digital Media, Journalism, News, Publishing","Los Angeles, California, United States",PMC is a Leading Digital Media and Publishing Company,1432,$10M to $50M,1/1/2003,year,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing, Video",1,501-1000,1,200000000,NA,Private,NA,Made Acquisitions,NA,NA,NA,2/28/2018,200000000,Corporate Round,0,68,NA
1,61,Pray.com,"Communities, Private Social Networking, Religion","Santa Monica, California, United States",Pray.com is a social network for faith organizations and non-profits.,1442,$1M to $10M,1/1/2016,year,Community and Lifestyle,4,11-50,2,16000000,7,Private,NA,NA,NA,2,Early Stage Venture,3/14/2018,14000000,Series A,0,1,NA
1,62,Embrace,"Developer Tools, Enterprise Software, Mobile Apps","Culver City, California, United States",Embrace is the only monitoring and debugging platform built exclusively for mobile apps,1454,$1M to $10M,1/1/2016,year,"Apps, Mobile, Software",3,11-50,8,7650000,35,Private,NA,NA,NA,3,Seed,3/1/2020,NA,Seed,4,1,NA
1,63,Beachbody,"Fitness, Health Care, Wellness","Santa Monica, California, United States",Beachbody has developed and offering an in-home fitness and weight loss solutions.,1470,$100M to $500M,1/1/1998,year,"Health Care, Sports",2,501-1000,1,8500000,NA,Private,NA,Made Acquisitions,NA,NA,NA,7/29/2019,8500000,Venture - Series Unknown,6,491,NA
1,64,Whisper,"Media and Entertainment, Mobile","Venice, California, United States","Whisper is an AI powered media company. Each month, over 250 million people across the web consume Whisper content.",1494,$1M to $10M,1/1/2012,year,"Media and Entertainment, Mobile",2,51-100,5,61000000,17,Private,NA,Was Acquired,1,3,M&A,6/9/2014,NA,Secondary Market,0,1,NA
1,65,Reformation,"E-Commerce, Fashion, Manufacturing","Los Angeles, California, United States","Reformation is a revolution in fashion where design, value, and sustainability coexist.",1497,$100M to $500M,1/1/2009,year,"Clothing and Apparel, Commerce and Shopping, Design, Manufacturing",1,101-250,2,37000000,8,Private,NA,Was Acquired,NA,2,M&A,12/14/2017,25000000,Series B,0,10,NA
1,66,Jam City,"Digital Entertainment, Gaming, Mobile, Mobile Apps, Online Games, Social Media","Culver City, California, United States","Jam City is a mobile entertainment company, connecting the world through technology, creativity, and play.",1515,$100M to $500M,1/1/2010,year,"Apps, Gaming, Internet Services, Media and Entertainment, Mobile, Software",3,251-500,4,302000000,7,Private,NA,Made Acquisitions,6,4,NA,1/16/2019,145000000,Undisclosed,0,48,NA
1,67,Happy Money,"Finance, Financial Services, FinTech, Payments, Personal Finance","Costa Mesa, California, United States",Financial Tools and Services for Human Happiness,1568,$10M to $50M,1/1/2009,day,"Financial Services, Payments",2,251-500,6,141561341,7,Private,NA,NA,1,6,Late Stage Venture,9/5/2019,70000000,Series D,2,30,NA
1,68,Cylance,"Artificial Intelligence, Consulting, Cyber Security, Enterprise Software, Machine Learning, Network Security, Penetration Testing","Irvine, California, United States",Cylance is a global provider of cybersecurity products and services using A.I. and machine learning to solve security problems.,1571,$100M to $500M,7/4/2012,day,"Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",2,501-1000,5,297000000,13,Private,NA,"Made Acquisitions, Was Acquired",48,5,M&A,6/20/2018,120000000,Series E,79,48,NA
1,69,Signal Sciences,"Cyber Security, Information Technology, SaaS, Security, Software, Web Apps","Culver City, California, United States",Signal Sciences is a software as a service platform providing security monitoring and defense for your web application.,1573,$1M to $10M,3/10/2014,day,"Apps, Information Technology, Privacy and Security, Software",3,101-250,4,61700000,8,Private,NA,NA,38,5,Late Stage Venture,2/5/2019,35000000,Series C,2,6,NA
1,70,Savage X Fenty,"E-Commerce, Fashion, Retail","El Segundo, California, United States",Savage X Fenty is a lingerie brand company that offers a variety of underwear ranging from everyday basics to more provocative pieces.,1583,$100M to $500M,1/1/2017,year,"Clothing and Apparel, Commerce and Shopping, Design",3,NA,1,70000000,2,Private,NA,NA,NA,2,NA,8/27/2019,70000000,Venture - Series Unknown,NA,NA,NA
1,71,PeerStreet,"Crowdfunding, FinTech, Real Estate, Real Estate Investment","El Segundo, California, United States",PeerStreet is a crowdfunding platform that gives investors easy access to high-yielding loans that are collateralized with real estate.,1591,NA,1/1/2013,year,"Financial Services, Real Estate",3,101-250,6,110600000,19,Private,NA,NA,3,4,Late Stage Venture,10/28/2019,60000000,Series C,0,1,NA
1,72,UpKeep Maintenance Management,"B2B, Internet, Mobile, SaaS, Software","Los Angeles, California, United States",UpKeep provides maintenance management solutions for facility maintenance teams in the United States.,1605,$1M to $10M,6/22/2014,day,"Internet Services, Mobile, Software",1,101-250,4,12820000,16,Private,NA,NA,1,2,Early Stage Venture,3/20/2018,10000000,Series A,0,4,NA
