"","Y","id","Organization.Name","Industries","Headquarters.Location","Description","CB.Rank..Company.","Estimated.Revenue.Range","Founded.Date","Founded.Date.Precision","Industry.Groups","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks","Investment.Stage"
"945",0,945,"fastdata.io","Big Data, Business Intelligence, Cloud Data Services, Data Mining, Database, GPU, Information Technology, Internet, Predictive Analytics","Santa Monica, California, United States","Fastdata.io is developing the world’s fastest and most efficient real-time stream processing software engine.",22208,"NA","1/1/2016","year","Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Internet Services, Software","1","1-10",2,6500000,"4","Private","NA","NA","2","3","Seed","3/27/2018","5000000","Seed","0","1","NA"
"1645",0,1645,"Ader","Brand Marketing, Content Marketing, Digital Marketing, Gaming, Marketing, Marketplace, Social Media Marketing, Video Games","Los Angeles, California, United States","Ader helps brands sponsor eSports Influencers on Twitch.",40272,"$1M to $10M","10/1/2014","month","Commerce and Shopping, Gaming, Sales and Marketing","3","11-50",3,245000,"3","Private","NA","NA","1","1","Seed","6/30/2016","120000","Seed","NA","NA","NA"
"896",0,896,"Menlo Micro","Electronics, Semiconductor","Irvine, California, United States","MENLO MICRO HAS DEVELOPED THE MOST IMPORTANT TECHNOLOGICAL INNOVATION IN ELECTRONICS SINCE THE TRANSISTOR....THE IDEAL SWITCH",20933,"$1M to $10M","12/2/2016","day","Consumer Electronics, Hardware, Science and Engineering","2","11-50",1,18700000,"4","Private","NA","NA","2","NA","NA","12/6/2016","18700000","Venture - Series Unknown","NA","NA","NA"
"1080",0,1080,"Second Dinner Studios","Digital Entertainment, Gaming","Tustin, California, United States","Second Dinner Studios is a game development studio.",25333,"NA","1/1/2018","year","Gaming, Media and Entertainment","3","11-50",1,3e+07,"1","Private","NA","NA","NA","1","NA","1/3/2019","30000000","Corporate Round","0","1","NA"
"200",1,200,"Carbon38","E-Commerce, Fashion, Retail","Culver City, California, United States","Carbon38 is the premier e-commerce destination for performance fashion",4506,"$1M to $10M","7/18/2012","day","Clothing and Apparel, Commerce and Shopping, Design","2","51-100",7,39100000,"11","Private","NA","NA","NA","2","Early Stage Venture","2/10/2019","10000000","Convertible Note","0","7","NA"
"554",0,554,"Allied Esports","eSports, Fantasy Sports, Gaming","Santa Ana, California, United States","Allied Esports is a network of dedicated e-sports venues and content production facilities.",12302,"NA","1/1/2016","year","Gaming, Sports","NA","101-250",1,5e+06,"1","Private","NA","NA","NA","1","NA","7/4/2019","5000000","Corporate Round","1","29","NA"
"1522",0,1522,"Hopps","Consulting, Enterprise Software, SaaS, Software","Los Angeles, California, United States","SaaS, Web Platform, Enterprise, Experts, Live, On-Demand",36957,"NA","12/16/2019","day","Software","1","1-10",1,2e+05,"2","Private","NA","NA","NA","NA","Seed","1/1/2020","200000","Pre-Seed","NA","NA","NA"
"1872",0,1872,"Jogg","Brand Marketing, Content Creators, Social Media, Social Media Marketing, Video","Glendale, California, United States","Jogg is an audience + brand investment company using video - the most emotional medium - to engage people, gather insight & gain perspective",46335,"NA","1/1/2014","year","Internet Services, Media and Entertainment, Sales and Marketing, Video","1","1-10",2,1970000,"3","Private","NA","NA","NA","NA","NA","11/13/2017","1850000","Convertible Note","NA","NA","NA"
"1014",0,1014,"Solid Commerce","E-Commerce, Enterprise Software, Lifestyle, Software","Marina Del Rey, California, United States","Robust Multi-channel selling software",23845,"$1M to $10M","1/1/2008","year","Commerce and Shopping, Community and Lifestyle, Software","1","51-100",4,1250000,"4","Private","NA","NA","NA","3","NA","3/27/2018","NA","Debt Financing","NA","NA","NA"
"1053",0,1053,"OUYA","Consumer Electronics, Digital Media, Video Games","Los Angeles, California, United States","OUYA develops and delivers open video game consoles for televisions.",24581,"NA","1/1/2012","year","Consumer Electronics, Gaming, Hardware, Media and Entertainment","2","11-50",4,33600000,"8","Private","NA","Was Acquired","NA","3","M&A","1/29/2015","10000000","Venture - Series Unknown","NA","NA","NA"
"610",0,610,"DSTLD","E-Commerce, Fashion, Lifestyle","Los Angeles, California, United States","DSTLD is a direct-to-consumer premium denim brand.",13650,"$1M to $10M","1/1/2013","year","Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","3","1-10",6,8705279,"19","Private","NA","NA","NA","2","NA","8/10/2018","64586","Equity Crowdfunding","0","1","NA"
"1008",0,1008,"WebJoint","B2B, Cannabis, Consulting, E-Commerce Platforms, Enterprise Software, Information Technology, Marketing, Point of Sale, SaaS, Software","Los Angeles, California, United States","WebJoint is an all-in-one software that helps cannabis business owners manage their patients, finances, employees, inventory, and website. ",23506,"$1M to $10M","1/1/2014","year","Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care, Information Technology, Internet Services, Sales and Marketing, Software","2","11-50",2,1555000,"1","Private","NA","NA","1","1","Early Stage Venture","11/13/2017","1500000","Series A","NA","NA","NA"
"387",1,387,"NGD Systems","Big Data, Cloud Storage, Computer, Data Storage, Flash Storage","Irvine, California, United States","NGD Systems manufactures the world’s most advanced computational storage drives (CSDs) that allow customers to compute anywhere.",8610,"$1M to $10M","6/1/2013","month","Consumer Electronics, Data and Analytics, Hardware, Internet Services, Software","2","11-50",5,42656845,"8","Private","NA","NA","10","3","Late Stage Venture","2/5/2020","20000000","Series C","32","4","NA"
"322",1,322,"Foodstirs","Consumer Goods, E-Commerce, Organic Food, Retail","Santa Monica, California, United States","Foodstirs is an omni-channel junk-free baking brand founded by Galit Laibow, Greg Fleishman & Sarah Michelle Gellar",7126,"NA","7/1/2015","month","Commerce and Shopping, Consumer Goods, Food and Beverage","3","11-50",4,6e+06,"8","Private","NA","NA","11","5","Early Stage Venture","6/1/2018","NA","Series A","0","9","NA"
"605",0,605,"WEVR","Communities, Media and Entertainment, Virtual Reality","Venice, California, United States","WEVR is a virtual reality community and VR media player for aspiring and professional creatives.",13554,"Less than $1M","1/1/2010","year","Community and Lifestyle, Hardware, Media and Entertainment, Software","3","11-50",6,38750000,"13","Private","NA","NA","3","1","Early Stage Venture","2/5/2016","25000000","Series B","0","4","NA"
"632",0,632,"Cover Technologies","Building Material, Construction, Manufacturing, Product Design, Property Management, Real Estate, Software","Gardena, California, United States","Cover’s mission is to make living in a thoughtfully designed and well-built home a reality for everyone.",14067,"$1M to $10M","1/1/2014","year","Design, Manufacturing, Real Estate, Software","2","1-10",2,1600000,"4","Private","NA","NA","NA","2","Seed","4/19/2019","NA","Seed","NA","NA","NA"
"744",0,744,"FlipTix","Events, Marketing, Ticketing","Newport Beach, California, United States","Life is Flexible.  Events Should be, Too!",16947,"NA","1/1/2016","year","Events, Media and Entertainment, Sales and Marketing","3","11-50",2,2485000,"NA","Private","NA","NA","1","NA","Seed","4/12/2019","1370000","Seed","6","3","NA"
"1924",0,1924,"Kajabi","CRM, EdTech, Lead Generation, Marketing, Software","Irvine, California, United States","Kajabi is a knowledge commerce platform which helps people package and sell their knowledge about any subject matter to others.",47812,"Less than $1M","10/1/2009","day","Education, Information Technology, Sales and Marketing, Software","2","11-50",1,NA,"1","Private","NA","NA","NA","1","Private Equity","11/8/2019","NA","Private Equity","0","2","NA"
"882",0,882,"Thrive Causemetics","Beauty, Charity, Cosmetics","Los Angeles, California, United States","Thrive Causemetics offers cosmetics that are cruelty-free, vegan, and formulated with safe ingredients.",20446,"NA","1/1/2013","year","Consumer Goods","1","11-50",2,260000,"1","Private","NA","NA","NA","1","Seed","11/13/2015","165000","Angel","0","7","NA"
"1614",0,1614,"Nestigator.com","Internet, Lifestyle, Real Estate","Los Angeles, California, United States","Revolutionizing real estate search with relevant, custom tailored local content and a comprehensive listings menu.",39437,"$1M to $10M","3/13/2014","day","Community and Lifestyle, Internet Services, Real Estate","1","1-10",1,3e+06,"1","Private","NA","NA","NA","1","Early Stage Venture","4/26/2015","3000000","Series A","NA","NA","NA"
"1742",0,1742,"Debt Logic","Analytics, Database, Information Technology, Internet of Things, Software","Huntington Beach, California, United States","Debt Logic is designed specifically for multi-family housing Debt Logic provides a cloud based software platform.",42967,"NA","1/1/2016","year","Data and Analytics, Information Technology, Internet Services, Software","NA","1-10",1,1750000,"NA","Private","NA","NA","NA","NA","NA","10/11/2018","1750000","Venture - Series Unknown","NA","NA","NA"
"588",0,588,"Protecht, Inc","FinTech, Fraud Detection, Insurance, InsurTech, Payments","Newport Beach, California, United States","Protecht, previously known as ‘TicketGuardian’, is the leader insurtech startup partner to venues to insure their experiences for fans",13240,"$1M to $10M","2/1/2016","day","Financial Services, Payments, Privacy and Security","1","11-50",6,21925000,"4","Private","NA","Made Acquisitions","NA","4","Early Stage Venture","1/5/2020","5000000","Debt Financing","0","9","NA"
"1200",0,1200,"X.Labs","Hardware, Public Safety, Security, Software","West Hollywood, California, United States","Public Safety",28531,"NA","2/28/2018","day","Government and Military, Hardware, Privacy and Security, Software","1","1-10",2,3150000,"NA","Private","NA","NA","NA","NA","NA","10/1/2019","850000","Convertible Note","NA","NA","NA"
"687",0,687,"Fame & Partners","Beauty, E-Commerce, Fashion, Lifestyle, Shopping, Women's","Los Angeles, California, United States","Fame & Partners is an apparel and fashion platform intended for women.",15449,"$1M to $10M","1/1/2013","year","Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design","1","11-50",4,10200000,"7","Private","NA","NA","NA","2","Early Stage Venture","4/20/2016","10200000","Series A","0","6","NA"
"78",1,78,"Ritual","Consumer Goods, E-Commerce, Health Care, Medical, Subscription Service, Wellness","Culver City, California, United States","Ritual is a health and technology company that has reinvented the vitamin for a healthier future.",1800,"$1M to $10M","6/1/2015","month","Commerce and Shopping, Consumer Goods, Health Care","1","11-50",5,40500000,"15","Private","NA","NA","2","3","Early Stage Venture","2/5/2019","25000000","Series B","1","9","NA"
"1543",0,1543,"Venbrook Insurance Services","Financial Services, Insurance","Woodland Hills, California, United States","Venbrook Insurance Services is a national leader in insurance broking and risk management solutions.",37398,"$10M to $50M","1/1/2000","year","Financial Services","1","101-250",1,4.2e+07,"1","Private","NA","NA","NA","1","NA","10/20/2016","42000000","Debt Financing","NA","NA","NA"
"724",0,724,"Veestro","E-Commerce, Hospitality, Organic Food","Los Angeles, California, United States","Veestro is the newest concept in Food Commerce.",16507,"Less than $1M","10/10/2012","day","Commerce and Shopping, Food and Beverage, Travel and Tourism","2","11-50",2,1875000,"2","Private","NA","NA","NA","1","NA","4/5/2016","1500000","Venture - Series Unknown","0","1","NA"
"1810",0,1810,"Xmybox","B2C, Consumer, E-Commerce","Los Angeles, California, United States","Xmybox Happy Box is a business-to-consumer website offering adult sex products and sex toys.",44776,"NA","1/1/2009","year","Commerce and Shopping","NA","NA",1,1.5e+08,"2","Private","NA","NA","NA","NA","NA","6/1/2012","23548220","Venture - Series Unknown","NA","NA","NA"
"1524",0,1524,"Fika Ventures","Financial Services, FinTech, Health Care, Marketplace, Venture Capital","Los Angeles, California, United States","Fika Ventures is a seed fund that focuses on enterprise and B2B software, FinTech, marketplaces, and digital health.",36996,"NA","9/19/2016","day","Commerce and Shopping, Financial Services, Health Care, Lending and Investments","2","1-10",NA,NA,"NA","Private","NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","Seed"
"213",1,213,"NeuroVasc Technologies","Health Care, Medical, Medical Device, Neuroscience","Laguna Hills, California, United States","NeuroVasc Technologies is a medical device company that develops a catheter-based technology to treat neurovascular diseases.",4961,"$1M to $10M","1/1/2015","year","Biotechnology, Health Care, Science and Engineering","1","NA",4,42750000,"2","Private","NA","NA","NA","2","NA","2/27/2020","34000000","Venture - Series Unknown","9","4","NA"
"1076",0,1076,"Lumitron Technologies","Health Care, Hospital, Image Recognition, Medical, Medical Device, Telecommunications","Irvine, California, United States","Revolutionizing a unique x­‐ray system that enables new capabilities for high­‐fidelity imaging.",25266,"NA","9/9/2013","day","Data and Analytics, Hardware, Health Care, Software","2","NA",1,33600000,"5","Private","NA","NA","NA","NA","Seed","7/9/2018","25098845","Seed","NA","NA","NA"
"432",1,432,"HyreCar","Automotive, Peer to Peer, Rental, Ride Sharing, Small and Medium Businesses","Los Angeles, California, United States","HyreCar is a peer-to-peer car sharing marketplace that allows anyone to rent their idle cars to Uber and Lyft drivers safely and reliably.",9517,"$1M to $10M","1/1/2014","year","Commerce and Shopping, Transportation","1","51-100",4,4960000,"1","Public","2018-06-25","NA","NA","1","IPO","2/1/2018","1460000","Debt Financing","NA","NA","NA"
"1324",0,1324,"Sega","PC Games, Publishing, Software, Video, Video Games","Irvine, California, United States","SEGA develops, publishes, and distributes interactive entertainment software products for a variety of hardware platforms.",31643,"NA","1/1/1940","year","Content and Publishing, Gaming, Media and Entertainment, Software, Video","NA","501-1000",NA,NA,"NA","Delisted","2004-01-01","Made Acquisitions","7","NA","IPO",NA,"NA","NA","NA","NA","NA"
"635",0,635,"Twenty20","E-Commerce, Internet, Marketing Automation, Mobile, Photo Sharing, Photography","Marina Del Rey, California, United States","Twenty20 provides a modern, real-world alternative to traditional stock photography.",14229,"NA","4/1/2011","day","Commerce and Shopping, Content and Publishing, Internet Services, Media and Entertainment, Mobile, Sales and Marketing, Software","3","11-50",5,32007027,"12","Private","NA","NA","1","2","NA","6/18/2018","22307027","Venture - Series Unknown","NA","NA","NA"
"594",0,594,"Sixgill","Developer Tools, Enterprise, Robotics, Software","Santa Monica, California, United States","Sixgill allows the governance of connected assets—people, places and things —with a sensor data services platform for better IoE deployment.",13284,"$1M to $10M","1/1/2007","year","Hardware, Science and Engineering, Software","NA","11-50",2,33900000,"2","Private","NA","NA","NA","NA","Early Stage Venture","9/14/2017","27900000","Series B","0","7","NA"
"138",1,138,"Fisker Automotive","Automotive, Autonomous Vehicles, Electric Vehicle, Manufacturing, Mobile, Transportation","Anaheim, California, United States","Fisker Automotive was an American company known for producing one of the world's first production luxury plug-in hybrid electric vehicles.",2980,"$100M to $500M","1/1/2007","year","Manufacturing, Mobile, Transportation","2","101-250",10,1476500000,"10","Private","NA","Was Acquired","NA","2","M&A","4/2/2012","392000000","Private Equity","0","1","NA"
"863",0,863,"F/ELD","Cannabis","Los Angeles, California, United States","F/ELD is a cannabis brand focused on the ""ultra premium"" portion of the cannabis market.",20046,"NA","1/1/2015","year","Community and Lifestyle, Food and Beverage, Health Care","1","NA",1,6e+06,"2","Private","NA","Was Acquired","NA","1","M&A","9/20/2018","6000000","Venture - Series Unknown","NA","NA","NA"
"1094",0,1094,"CHER®","FinTech, Internet, Real Estate, Social Network, Software","Santa Monica, California, United States","CHER® is a real estate software that makes co-buying homes easy.",25651,"NA","12/17/2018","day","Financial Services, Internet Services, Real Estate, Software","1","1-10",1,440000,"1","Private","NA","NA","3","1","Seed","9/1/2019","440000","Pre-Seed","NA","NA","NA"
"623",0,623,"Mojix","Big Data, Internet of Things, Wireless","Los Angeles, California, United States","Mojix delivers RFID solutions that match real-time supply and demand while minimizing waste.",13897,"$1M to $10M","1/1/2004","year","Data and Analytics, Hardware, Internet Services, Mobile","1","101-250",8,95500000,"7","Private","NA","Made Acquisitions","1","2","Late Stage Venture","7/31/2017","NA","Debt Financing","41","8","NA"
"1067",0,1067,"Century Housing","Building Material, Communities, Leisure, Real Estate","Culver City, California, United States","Century Housing invests in homes and communities so that low income individuals and families may have a dignified living environment,",24916,"$10M to $50M","1/1/1995","year","Community and Lifestyle, Real Estate","NA","51-100",1,4700000,"1","Private","NA","NA","NA","1","NA","2/25/2020","4700000","Grant","NA","NA","NA"
"461",0,461,"Pepper Financial","NA","Los Angeles, California, United States","Pepper gives modern businesses a new perspective on their financial health and helps them grow smarter.",10225,"NA","1/1/2019","year","NA","6","1-10",1,5600000,"3","Private","NA","Made Acquisitions","NA","NA","Seed","12/17/2019","5600000","Seed","0","1","NA"
"1824",0,1824,"MemberPlanet","Financial Services, Office Administration, Software, Web Development","Torrance, California, United States","MemberPlanet, a web-based company, provides groups with a free portal to manage their communication, financial, and administrative needs.",45159,"NA","1/1/2011","year","Administrative Services, Financial Services, Software","1","11-50",1,2500000,"2","Private","NA","NA","NA","NA","Seed","9/26/2013","2500000","Seed","NA","NA","NA"
"1404",0,1404,"Allegro Ophthalmics","Biotechnology, Pharmaceutical","San Juan Capistrano, California, United States","Allegro Ophthalmics is dedicated to delivering and establishing Integrin Peptide TherapyTM.",34008,"NA","1/1/2011","year","Biotechnology, Health Care, Science and Engineering","3","11-50",4,42700000,"1","Private","NA","NA","NA","1","Private Equity","7/24/2017","10700000","Private Equity","0","4","NA"
"856",0,856,"CU Direct","Lending, Retail, Robotics","Ontario, California, United States","CU Direct helps credit unions, dealers and affinity groups succeed.",19937,"$50M to $100M","1/1/1994","year","Commerce and Shopping, Financial Services, Hardware, Science and Engineering, Software","NA","251-500",1,1035000,"NA","Private","NA","NA","NA","NA","NA","8/17/2018","1035000","Venture - Series Unknown","0","13","NA"
"141",1,141,"Marcus & Millichap","Commercial Real Estate, Finance, Real Estate, Real Estate Investment","Calabasas, California, United States","Marcus & Millichap helps create and preserve wealth with the best real estate investment sales, financing, research and advisory services.",3081,"$100M to $500M","1/1/1971","year","Financial Services, Real Estate","2","1001-5000",2,28100000,"NA","Public","2013-11-08","Made Acquisitions","16","NA","IPO","5/1/2018","4000000","Post-IPO Equity","0","3","NA"
"256",1,256,"Second Sight","Health Care, Manufacturing, Medical Device","Sylmar, California, United States","Second Sight manufactures and markets implantable visual prosthetics to enable blind individuals to achieve greater independence.",5843,"Less than $1M","1/1/1998","year","Health Care, Manufacturing","1","51-100",11,51400000,"1","Public","2014-11-28","NA","NA","1","IPO","10/1/2019","2400000","Grant","335","14","NA"
"365",1,365,"Tripalink","Communities, Property Development, Property Management, Real Estate","Los Angeles, California, United States","Tripalink operates and develops furnished small apartments and multi-family houses with community services for Gen-Z and Millennials.",8114,"NA","3/1/2016","month","Community and Lifestyle, Real Estate","1","51-100",3,1.8e+07,"5","Private","NA","NA","NA","2","Early Stage Venture","8/6/2019","10000000","Series B","0","2","NA"
"834",0,834,"Lucidity","Advertising, Advertising Platforms, Analytics, Blockchain, Mobile Advertising","Marina Del Rey, California, United States","Lucidity authenticates the details that make your media tick.",19282,"$1M to $10M","8/1/2017","month","Advertising, Data and Analytics, Sales and Marketing","3","11-50",1,5e+06,"5","Private","NA","NA","NA","NA","NA","8/15/2018","5000000","Corporate Round","2","1","NA"
"1119",0,1119,"Monaru","Information Technology, Media and Entertainment","Walnut, California, United States","Monaru offers a virtual assistant that helps people build deeper connections with the people they really care about.",26336,"NA","1/1/2019","year","Information Technology, Media and Entertainment","2","NA",1,150000,"1","Private","NA","NA","NA","1","Seed","8/19/2019","150000","Seed","NA","NA","NA"
"1360",0,1360,"TimeCamp Inc","Enterprise Software, Information Technology, Software, Task Management","Walnut, California, United States","TimeCamp is a software company developing time tracking and productivity software for businesses and individuals.",32770,"$1M to $10M","8/15/2008","day","Information Technology, Software","1","11-50",3,258361,"2","Private","NA","NA","NA","2","NA","6/15/2016","138361","Venture - Series Unknown","NA","NA","NA"
"1613",0,1613,"Givesurance","Charity, Insurance","Woodland Hills, California, United States","Helps people support the charities that matter to them by leveraging their choice of insurance provider.",39385,"$1M to $10M","1/1/2013","year","Financial Services","1","11-50",3,1e+06,"4","Private","NA","NA","2","1","Seed","6/23/2015","900000","Seed","NA","NA","NA"
"641",0,641,"TenantBase","Big Data, Commercial Real Estate, Real Estate, Rental Property, Service Industry","Santa Monica, California, United States","Technology enabled CRE brokerage firm built to provide small tenants access to the small space office market with the click of a button",14342,"NA","1/1/2013","year","Data and Analytics, Real Estate","3","11-50",3,10700000,"3","Private","NA","NA","NA","2","NA","6/13/2018","10700000","Venture - Series Unknown","0","1","NA"
"1190",0,1190,"Zen Ecosystems","Commercial, Energy, Internet of Things, Renewable Energy, Residential, Smart Building, Smart Home","Costa Mesa, California, United States","Zen Ecosystems provides intelligent energy management solutions to businesses and consumers.",28375,"Less than $1M","1/1/2013","year","Consumer Electronics, Energy, Internet Services, Real Estate, Sustainability","2","101-250",1,5e+06,"1","Private","NA","NA","3","1","Early Stage Venture","5/31/2018","5000000","Series B","NA","NA","NA"
"1283",0,1283,"Adaptive Studios, Inc.","Information Services, Media and Entertainment, TV","Culver City, California, United States","Adaptive Studios is an Emmy®-winning entertainment studio taking a story-first approach to creating premium content.",30569,"NA","1/1/2012","year","Information Technology, Media and Entertainment, Video","3","11-50",2,24900000,"8","Private","NA","NA","NA","1","Early Stage Venture","2/15/2018","16500000","Series B","0","8","NA"
"1309",0,1309,"AEOLUS PHARMACEUTICALS","Biotechnology, Health Care, Pharmaceutical","Mission Viejo, California, United States","Aeolus Pharmaceuticals develops lead compound, AEOL-10150, as a treatment for the pulmonary and delayed effects of acute radiation exposure.",31349,"Less than $1M","1/1/1994","year","Biotechnology, Health Care, Science and Engineering","NA","1-10",7,18505550,"NA","Public","1996-02-09","NA","NA","NA","IPO","12/14/2015","6750000","Post-IPO Equity","NA","NA","NA"
"1561",0,1561,"BuzzMob","Internet, Mobile Apps, Social Media","Irvine, California, United States","Connecting classrooms and schools to engage and empower parents and students.",37773,"$1M to $10M","12/1/2010","day","Apps, Internet Services, Media and Entertainment, Mobile, Software","2","1-10",3,2600000,"2","Private","NA","NA","NA","1","NA","10/16/2012","2000000","Venture - Series Unknown","NA","NA","NA"
"941",0,941,"Team Rubicon","Communities, Non Profit, Public Safety","El Segundo, California, United States","Team Rubicon is a non-government organization providing disaster relief from the moment a disaster happens.",22136,"$10M to $50M","1/1/2010","year","Community and Lifestyle, Government and Military","2","11-50",1,1e+06,"1","Private","NA","NA","NA","1","NA","7/12/2016","1000000","Grant","0","4","NA"
"1707",0,1707,"Wonderstorm","Media and Entertainment","El Segundo, California, United States","Wonderstorm is a STORY and PLAY media studio that aims to create deep worlds and stories that will form the basis for lasting franchises.",41921,"NA","1/1/2016","year","Media and Entertainment","3","NA",1,3600000,"1","Private","NA","NA","NA","1","NA","8/27/2019","3600000","Venture - Series Unknown","0","11","NA"
"729",0,729,"SERVIZ","Apps, E-Commerce, Home Decor, Home Renovation, iOS, Mobile Apps","Sherman Oaks, California, United States","SERVIZ offers a web and mobile application that enables its users to find and book home service providers according to their location.",16677,"NA","1/1/2014","year","Apps, Commerce and Shopping, Mobile, Platforms, Real Estate, Software","2","11-50",3,29699890,"5","Private","NA","Was Acquired","NA","2","M&A","11/2/2016","9700000","Series C","NA","NA","NA"
"1349",0,1349,"Generation Genius","E-Learning","Sherman Oaks, California, United States","Generation Genius is a science teaching resource produced in partnership with the National Science Teachers Association.",32429,"NA","1/1/2017","year","Education, Software","NA","1-10",2,1669691,"1","Private","NA","NA","NA","NA","NA","5/29/2019","1069691","Equity Crowdfunding","NA","NA","NA"
"619",0,619,"DIRECTV","Digital Entertainment, Film, Sports","El Segundo, California, United States","DIRECTV is an American digital entertainment services provider delivering sports, news, movies, family and local programming channels.",13831,"NA","1/1/1990","year","Media and Entertainment, Sports, Video","NA","10001+",NA,NA,"NA","Delisted","2013-08-29","Made Acquisitions, Was Acquired","1","NA","M&A",NA,"NA","NA","0","73","NA"
"826",0,826,"Gehry Technologies","3D Technology, Architecture, Collaboration, Web Hosting","Los Angeles, California, United States","Gehry Technologies is an AEC technology company, providing web-based 3D project collaboration, building information modeling, and more.",19034,"NA","1/1/2002","year","Hardware, Internet Services, Real Estate, Software","1","NA",2,14599999,"2","Private","NA","Made Acquisitions, Was Acquired","NA","2","M&A","12/6/2011","10500000","Series B","1","3","NA"
